<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOKHUF,5,20250728,000000,33.3261,33.3261,33.2709,33.2759,0,0
NOKHUF,5,20250728,000500,33.282,33.2823,33.2647,33.2753,0,0
NOKHUF,5,20250728,001000,33.266,33.2852,33.2639,33.2838,0,0
NOKHUF,5,20250728,001500,33.2831,33.2845,33.267,33.2781,0,0
NOKHUF,5,20250728,002000,33.2802,33.2802,33.2579,33.2669,0,0
NOKHUF,5,20250728,002500,33.2669,33.2814,33.2656,33.278,0,0
NOKHUF,5,20250728,003000,33.278,33.2802,33.2412,33.247,0,0
NOKHUF,5,20250728,003500,33.2417,33.251,33.2359,33.2452,0,0
NOKHUF,5,20250728,004000,33.2437,33.2492,33.2123,33.2283,0,0
NOKHUF,5,20250728,004500,33.2227,33.2399,33.2227,33.2344,0,0
NOKHUF,5,20250728,005000,33.2353,33.2443,33.2323,33.2355,0,0
NOKHUF,5,20250728,005500,33.2383,33.2404,33.2314,33.2318,0,0
NOKHUF,5,20250728,010000,33.2377,33.2453,33.232,33.2339,0,0
NOKHUF,5,20250728,010500,33.2352,33.2503,33.2307,33.2427,0,0
NOKHUF,5,20250728,011000,33.2458,33.2458,33.2343,33.2427,0,0
NOKHUF,5,20250728,011500,33.2434,33.2434,33.2343,33.2402,0,0
NOKHUF,5,20250728,012000,33.2396,33.2507,33.2376,33.2414,0,0
NOKHUF,5,20250728,012500,33.2414,33.2553,33.2405,33.2506,0,0
NOKHUF,5,20250728,013000,33.2506,33.2589,33.2399,33.2449,0,0
NOKHUF,5,20250728,013500,33.2513,33.2541,33.2385,33.2541,0,0
NOKHUF,5,20250728,014000,33.2541,33.2632,33.2396,33.2555,0,0
NOKHUF,5,20250728,014500,33.2555,33.2636,33.2363,33.2549,0,0
NOKHUF,5,20250728,015000,33.2547,33.2578,33.2408,33.241,0,0
NOKHUF,5,20250728,015500,33.2413,33.2466,33.2357,33.2429,0,0
NOKHUF,5,20250728,020000,33.2426,33.2606,33.2397,33.2443,0,0
NOKHUF,5,20250728,020500,33.2449,33.2449,33.2328,33.2364,0,0
NOKHUF,5,20250728,021000,33.2364,33.2413,33.234,33.2397,0,0
NOKHUF,5,20250728,021500,33.2413,33.2413,33.2285,33.2293,0,0
NOKHUF,5,20250728,022000,33.2298,33.2365,33.2289,33.2365,0,0
NOKHUF,5,20250728,022500,33.2366,33.239,33.2293,33.2316,0,0
NOKHUF,5,20250728,023000,33.2316,33.2318,33.2249,33.2264,0,0
NOKHUF,5,20250728,023500,33.2258,33.2298,33.2227,33.224,0,0
NOKHUF,5,20250728,024000,33.224,33.2248,33.2213,33.2229,0,0
NOKHUF,5,20250728,024500,33.2218,33.2295,33.2207,33.2254,0,0
NOKHUF,5,20250728,025000,33.2257,33.2332,33.2222,33.2275,0,0
NOKHUF,5,20250728,025500,33.2275,33.2481,33.224,33.2347,0,0
NOKHUF,5,20250728,030000,33.2347,33.2449,33.2299,33.2433,0,0
