<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOKRUB,5,20250728,081500,7.81592,7.81712,7.81236,7.81236,0,0
NOKRUB,5,20250728,082000,7.81211,7.81211,7.79503,7.80524,0,0
NOKRUB,5,20250728,082500,7.80535,7.80547,7.79871,7.80354,0,0
NOKRUB,5,20250728,083000,7.8031,7.80568,7.8014,7.80323,0,0
NOKRUB,5,20250728,083500,7.80336,7.80597,7.80137,7.80597,0,0
NOKRUB,5,20250728,084000,7.80597,7.80669,7.80345,7.80669,0,0
NOKRUB,5,20250728,084500,7.80669,7.80923,7.80546,7.80923,0,0
NOKRUB,5,20250728,085000,7.80918,7.8106,7.80853,7.81014,0,0
NOKRUB,5,20250728,085500,7.81014,7.81319,7.80743,7.80743,0,0
NOKRUB,5,20250728,090000,7.80844,7.81309,7.79648,7.79804,0,0
NOKRUB,5,20250728,090500,7.79793,7.80291,7.79793,7.80031,0,0
NOKRUB,5,20250728,091000,7.80016,7.80206,7.7982,7.80162,0,0
NOKRUB,5,20250728,091500,7.80162,7.80543,7.80142,7.80447,0,0
NOKRUB,5,20250728,092000,7.80447,7.80697,7.80361,7.80495,0,0
NOKRUB,5,20250728,092500,7.80511,7.81091,7.80177,7.80334,0,0
NOKRUB,5,20250728,093000,7.80585,7.80585,7.78987,7.79116,0,0
NOKRUB,5,20250728,093500,7.79112,7.79453,7.78688,7.79042,0,0
NOKRUB,5,20250728,094000,7.79042,7.81333,7.78971,7.81333,0,0
NOKRUB,5,20250728,094500,7.81333,7.82176,7.81272,7.82176,0,0
NOKRUB,5,20250728,095000,7.81472,7.81518,7.79316,7.79491,0,0
NOKRUB,5,20250728,095500,7.79456,7.79657,7.78728,7.79377,0,0
NOKRUB,5,20250728,100000,7.79384,7.8077,7.79384,7.80114,0,0
NOKRUB,5,20250728,100500,7.80055,7.80245,7.79206,7.79818,0,0
NOKRUB,5,20250728,101000,7.79818,7.82222,7.79818,7.82002,0,0
NOKRUB,5,20250728,101500,7.82038,7.82463,7.82038,7.82396,0,0
