<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOKXAU,5,20250728,000000,0.0000297872,0.0000297872,0.0000296685,0.0000296739,0,0
NOKXAU,5,20250728,000500,0.0000296811,0.0000296811,0.0000295965,0.0000296082,0,0
NOKXAU,5,20250728,001000,0.0000296007,0.000029627,0.0000295954,0.0000296172,0,0
NOKXAU,5,20250728,001500,0.000029617,0.0000296296,0.0000296117,0.0000296232,0,0
NOKXAU,5,20250728,002000,0.0000296243,0.000029626,0.00002961,0.0000296252,0,0
NOKXAU,5,20250728,002500,0.0000296252,0.0000296414,0.0000296252,0.0000296405,0,0
NOKXAU,5,20250728,003000,0.0000296405,0.0000296432,0.0000295973,0.0000296096,0,0
NOKXAU,5,20250728,003500,0.0000296051,0.0000296256,0.000029604,0.0000296128,0,0
NOKXAU,5,20250728,004000,0.0000296104,0.0000296258,0.0000295968,0.0000296166,0,0
NOKXAU,5,20250728,004500,0.0000296116,0.0000296312,0.0000296048,0.0000296203,0,0
NOKXAU,5,20250728,005000,0.0000296205,0.0000296611,0.0000296205,0.0000296566,0,0
NOKXAU,5,20250728,005500,0.000029659,0.000029659,0.0000296075,0.0000296111,0,0
NOKXAU,5,20250728,010000,0.0000296163,0.0000296225,0.0000295693,0.0000295697,0,0
NOKXAU,5,20250728,010500,0.0000295728,0.0000295814,0.0000295552,0.0000295613,0,0
NOKXAU,5,20250728,011000,0.0000295649,0.0000295651,0.0000295549,0.0000295634,0,0
NOKXAU,5,20250728,011500,0.0000295696,0.0000295696,0.0000295509,0.0000295568,0,0
NOKXAU,5,20250728,012000,0.0000295578,0.0000295788,0.0000295564,0.0000295692,0,0
NOKXAU,5,20250728,012500,0.0000295693,0.0000296062,0.0000295693,0.0000296036,0,0
NOKXAU,5,20250728,013000,0.0000296036,0.0000296235,0.0000295978,0.0000296163,0,0
NOKXAU,5,20250728,013500,0.0000296199,0.0000296311,0.0000296131,0.0000296268,0,0
NOKXAU,5,20250728,014000,0.0000296257,0.000029626,0.0000295944,0.0000296101,0,0
NOKXAU,5,20250728,014500,0.0000296103,0.000029628,0.0000295887,0.000029611,0,0
NOKXAU,5,20250728,015000,0.0000296125,0.0000296159,0.0000295906,0.0000295906,0,0
NOKXAU,5,20250728,015500,0.0000295916,0.0000295972,0.0000295857,0.0000295864,0,0
NOKXAU,5,20250728,020000,0.0000295861,0.0000296067,0.0000295818,0.0000296059,0,0
NOKXAU,5,20250728,020500,0.0000296059,0.0000296059,0.0000295845,0.0000295905,0,0
NOKXAU,5,20250728,021000,0.0000295905,0.0000296014,0.0000295849,0.0000296009,0,0
NOKXAU,5,20250728,021500,0.0000296014,0.0000296137,0.0000295947,0.0000296052,0,0
NOKXAU,5,20250728,022000,0.0000296062,0.0000296185,0.0000296062,0.0000296149,0,0
NOKXAU,5,20250728,022500,0.0000296199,0.0000296199,0.0000296059,0.000029612,0,0
NOKXAU,5,20250728,023000,0.0000296124,0.0000296124,0.0000295867,0.0000295983,0,0
NOKXAU,5,20250728,023500,0.000029599,0.0000296016,0.0000295908,0.0000295934,0,0
NOKXAU,5,20250728,024000,0.0000295934,0.000029612,0.0000295904,0.0000296091,0,0
NOKXAU,5,20250728,024500,0.0000296086,0.000029626,0.0000295822,0.0000295842,0,0
NOKXAU,5,20250728,025000,0.0000295848,0.0000296007,0.000029577,0.0000295923,0,0
NOKXAU,5,20250728,025500,0.0000295922,0.0000296139,0.0000295907,0.0000296012,0,0
NOKXAU,5,20250728,030000,0.0000296012,0.0000296359,0.0000295909,0.0000295909,0,0
NOKXAU,5,20250728,030500,0.0000295902,0.000029591,0.000029569,0.000029591,0,0
NOKXAU,5,20250728,031000,0.0000295908,0.0000296009,0.000029576,0.0000296001,0,0
NOKXAU,5,20250728,031500,0.0000295989,0.000029613,0.0000295653,0.0000295658,0,0
NOKXAU,5,20250728,032000,0.0000295653,0.0000295712,0.0000295506,0.0000295572,0,0
NOKXAU,5,20250728,032500,0.000029556,0.0000295762,0.000029556,0.0000295722,0,0
NOKXAU,5,20250728,033000,0.0000295718,0.0000295804,0.0000295473,0.0000295556,0,0
NOKXAU,5,20250728,033500,0.0000295536,0.0000295564,0.0000295323,0.0000295487,0,0
NOKXAU,5,20250728,034000,0.0000295488,0.0000295488,0.0000295147,0.0000295217,0,0
NOKXAU,5,20250728,034500,0.0000295207,0.0000295442,0.0000295207,0.0000295422,0,0
NOKXAU,5,20250728,035000,0.0000295428,0.0000295655,0.0000295293,0.0000295655,0,0
NOKXAU,5,20250728,035500,0.0000295655,0.0000295821,0.0000295622,0.0000295714,0,0
NOKXAU,5,20250728,040000,0.0000295714,0.0000295835,0.0000295661,0.0000295763,0,0
NOKXAU,5,20250728,040500,0.0000295727,0.0000295746,0.0000295477,0.0000295584,0,0
NOKXAU,5,20250728,041000,0.0000295586,0.0000295633,0.0000295509,0.0000295509,0,0
NOKXAU,5,20250728,041500,0.0000295498,0.0000295549,0.0000295465,0.0000295474,0,0
NOKXAU,5,20250728,042000,0.000029548,0.0000295545,0.0000295432,0.0000295543,0,0
NOKXAU,5,20250728,042500,0.0000295543,0.0000295618,0.0000295351,0.0000295351,0,0
NOKXAU,5,20250728,043000,0.0000295351,0.0000295497,0.0000295286,0.0000295485,0,0
NOKXAU,5,20250728,043500,0.0000295476,0.0000295729,0.0000295449,0.0000295724,0,0
NOKXAU,5,20250728,044000,0.0000295733,0.000029579,0.0000295699,0.0000295732,0,0
NOKXAU,5,20250728,044500,0.0000295732,0.0000295879,0.0000295711,0.0000295818,0,0
NOKXAU,5,20250728,045000,0.000029581,0.000029581,0.0000295632,0.0000295639,0,0
NOKXAU,5,20250728,045500,0.0000295641,0.0000295666,0.0000295535,0.0000295535,0,0
NOKXAU,5,20250728,050000,0.000029554,0.0000295582,0.0000295488,0.0000295499,0,0
NOKXAU,5,20250728,050500,0.0000295498,0.0000295498,0.0000295299,0.000029534,0,0
NOKXAU,5,20250728,051000,0.000029534,0.0000295367,0.0000295246,0.0000295276,0,0
NOKXAU,5,20250728,051500,0.0000295277,0.0000295297,0.0000295214,0.000029522,0,0
NOKXAU,5,20250728,052000,0.0000295231,0.0000295355,0.0000295189,0.0000295308,0,0
NOKXAU,5,20250728,052500,0.0000295321,0.0000295484,0.0000295321,0.0000295363,0,0
NOKXAU,5,20250728,053000,0.0000295363,0.0000295383,0.0000295267,0.0000295285,0,0
NOKXAU,5,20250728,053500,0.0000295285,0.0000295289,0.0000295233,0.0000295288,0,0
NOKXAU,5,20250728,054000,0.0000295284,0.0000295332,0.0000295249,0.0000295258,0,0
NOKXAU,5,20250728,054500,0.0000295258,0.0000295258,0.0000295128,0.0000295144,0,0
NOKXAU,5,20250728,055000,0.0000295143,0.0000295149,0.0000294995,0.000029503,0,0
NOKXAU,5,20250728,055500,0.0000295015,0.0000295063,0.0000294853,0.0000294853,0,0
NOKXAU,5,20250728,060000,0.000029486,0.0000295031,0.0000294803,0.0000294932,0,0
NOKXAU,5,20250728,060500,0.000029494,0.0000294958,0.0000294854,0.000029487,0,0
NOKXAU,5,20250728,061000,0.0000294869,0.0000294997,0.0000294865,0.0000294866,0,0
NOKXAU,5,20250728,061500,0.0000294845,0.0000294896,0.0000294806,0.0000294845,0,0
NOKXAU,5,20250728,062000,0.0000294846,0.0000294942,0.0000294792,0.0000294907,0,0
NOKXAU,5,20250728,062500,0.0000294904,0.0000294994,0.0000294903,0.0000294913,0,0
NOKXAU,5,20250728,063000,0.0000294914,0.0000294917,0.0000294782,0.0000294805,0,0
NOKXAU,5,20250728,063500,0.0000294799,0.0000294877,0.0000294792,0.0000294846,0,0
NOKXAU,5,20250728,064000,0.0000294846,0.0000294891,0.0000294795,0.0000294837,0,0
NOKXAU,5,20250728,064500,0.0000294837,0.0000294919,0.0000294818,0.0000294888,0,0
NOKXAU,5,20250728,065000,0.0000294879,0.0000294899,0.0000294763,0.0000294842,0,0
NOKXAU,5,20250728,065500,0.0000294841,0.0000294952,0.0000294841,0.0000294952,0,0
NOKXAU,5,20250728,070000,0.0000294952,0.0000294955,0.0000294856,0.0000294944,0,0
NOKXAU,5,20250728,070500,0.000029495,0.000029498,0.0000294832,0.0000294832,0,0
NOKXAU,5,20250728,071000,0.0000294832,0.0000294879,0.000029482,0.0000294867,0,0
NOKXAU,5,20250728,071500,0.0000294871,0.000029491,0.0000294827,0.0000294861,0,0
NOKXAU,5,20250728,072000,0.0000294862,0.0000294862,0.0000294748,0.0000294748,0,0
NOKXAU,5,20250728,072500,0.0000294741,0.000029487,0.0000294741,0.0000294842,0,0
NOKXAU,5,20250728,073000,0.0000294847,0.0000294847,0.0000294606,0.0000294733,0,0
NOKXAU,5,20250728,073500,0.000029473,0.0000294838,0.0000294721,0.0000294821,0,0
NOKXAU,5,20250728,074000,0.0000294823,0.0000294926,0.0000294674,0.000029478,0,0
NOKXAU,5,20250728,074500,0.000029478,0.000029478,0.0000294506,0.0000294516,0,0
NOKXAU,5,20250728,075000,0.0000294504,0.0000294515,0.0000294409,0.0000294459,0,0
NOKXAU,5,20250728,075500,0.0000294462,0.0000294533,0.0000294287,0.0000294367,0,0
NOKXAU,5,20250728,080000,0.0000294365,0.0000294511,0.0000294157,0.0000294449,0,0
NOKXAU,5,20250728,080500,0.0000294453,0.0000294538,0.0000294357,0.0000294437,0,0
NOKXAU,5,20250728,081000,0.0000294468,0.0000294586,0.0000294337,0.0000294586,0,0
NOKXAU,5,20250728,081500,0.0000294594,0.0000294594,0.0000294378,0.0000294378,0,0
NOKXAU,5,20250728,082000,0.000029437,0.0000294378,0.0000294125,0.000029423,0,0
NOKXAU,5,20250728,082500,0.0000294232,0.0000294288,0.0000293963,0.0000294229,0,0
NOKXAU,5,20250728,083000,0.0000294218,0.0000294443,0.0000294192,0.0000294417,0,0
NOKXAU,5,20250728,083500,0.0000294414,0.0000294548,0.0000294321,0.000029449,0,0
NOKXAU,5,20250728,084000,0.000029449,0.000029449,0.0000294298,0.0000294425,0,0
NOKXAU,5,20250728,084500,0.0000294433,0.000029456,0.0000294428,0.0000294518,0,0
NOKXAU,5,20250728,085000,0.0000294516,0.0000294618,0.0000294513,0.0000294528,0,0
NOKXAU,5,20250728,085500,0.0000294528,0.0000294564,0.0000294321,0.0000294336,0,0
NOKXAU,5,20250728,090000,0.0000294378,0.0000294478,0.0000294243,0.0000294323,0,0
NOKXAU,5,20250728,090500,0.0000294327,0.0000294541,0.0000294318,0.0000294436,0,0
NOKXAU,5,20250728,091000,0.0000294432,0.0000294543,0.0000294337,0.0000294381,0,0
NOKXAU,5,20250728,091500,0.0000294381,0.0000294466,0.0000294381,0.0000294428,0,0
NOKXAU,5,20250728,092000,0.0000294428,0.0000294593,0.000029438,0.000029438,0,0
NOKXAU,5,20250728,092500,0.0000294376,0.0000294469,0.0000294147,0.0000294147,0,0
NOKXAU,5,20250728,093000,0.0000294139,0.0000294139,0.0000293742,0.0000293828,0,0
NOKXAU,5,20250728,093500,0.0000293839,0.0000294077,0.0000293824,0.0000293856,0,0
NOKXAU,5,20250728,094000,0.0000293856,0.000029397,0.0000293629,0.0000293706,0,0
NOKXAU,5,20250728,094500,0.0000293706,0.0000293882,0.0000293678,0.0000293882,0,0
NOKXAU,5,20250728,095000,0.0000293882,0.0000294011,0.0000293832,0.0000293947,0,0
NOKXAU,5,20250728,095500,0.0000293937,0.0000294017,0.0000293666,0.0000293666,0,0
NOKXAU,5,20250728,100000,0.0000293696,0.0000293863,0.0000293474,0.0000293586,0,0
NOKXAU,5,20250728,100500,0.0000293549,0.000029362,0.0000293283,0.0000293297,0,0
NOKXAU,5,20250728,101000,0.0000293297,0.0000293567,0.0000293289,0.0000293493,0,0
NOKXAU,5,20250728,101500,0.0000293515,0.000029373,0.0000293515,0.0000293657,0,0
NOKXAU,5,20250728,102000,0.0000293657,0.0000293788,0.0000293581,0.0000293753,0,0
NOKXAU,5,20250728,102500,0.0000293754,0.0000293828,0.0000293692,0.0000293797,0,0
NOKXAU,5,20250728,103000,0.0000293811,0.0000293985,0.0000293646,0.0000293939,0,0
NOKXAU,5,20250728,103500,0.0000293911,0.0000294029,0.0000293908,0.0000294021,0,0
NOKXAU,5,20250728,104000,0.0000294008,0.0000294087,0.000029395,0.0000294086,0,0
NOKXAU,5,20250728,104500,0.000029409,0.0000294178,0.0000293963,0.0000293964,0,0
NOKXAU,5,20250728,105000,0.0000293951,0.0000294006,0.0000293712,0.0000293829,0,0
NOKXAU,5,20250728,105500,0.0000293849,0.000029413,0.0000293849,0.0000294031,0,0
NOKXAU,5,20250728,110000,0.000029403,0.0000294059,0.0000293916,0.0000293916,0,0
NOKXAU,5,20250728,110500,0.0000293911,0.0000293991,0.0000293803,0.0000293953,0,0
NOKXAU,5,20250728,111000,0.0000293945,0.0000293992,0.0000293815,0.0000293948,0,0
NOKXAU,5,20250728,111500,0.0000293937,0.0000293983,0.0000293761,0.000029383,0,0
NOKXAU,5,20250728,112000,0.0000293843,0.0000293859,0.0000293739,0.0000293789,0,0
