<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NZDCNY,5,20250728,020000,4.31447,4.31667,4.31447,4.31637,0,0
NZDCNY,5,20250728,020500,4.31647,4.31647,4.31401,4.31459,0,0
NZDCNY,5,20250728,021000,4.3145,4.31599,4.31385,4.31588,0,0
NZDCNY,5,20250728,021500,4.31588,4.31767,4.31582,4.31684,0,0
NZDCNY,5,20250728,022000,4.31663,4.31819,4.31663,4.31697,0,0
NZDCNY,5,20250728,022500,4.31699,4.31778,4.31686,4.31778,0,0
NZDCNY,5,20250728,023000,4.31781,4.31784,4.31515,4.31553,0,0
NZDCNY,5,20250728,023500,4.31553,4.31715,4.31536,4.3168,0,0
NZDCNY,5,20250728,024000,4.3168,4.31782,4.31665,4.31767,0,0
NZDCNY,5,20250728,024500,4.31753,4.31753,4.31619,4.31724,0,0
NZDCNY,5,20250728,025000,4.31746,4.31781,4.31617,4.31673,0,0
NZDCNY,5,20250728,025500,4.31676,4.31907,4.31676,4.31907,0,0
NZDCNY,5,20250728,030000,4.31907,4.32209,4.31907,4.32168,0,0
NZDCNY,5,20250728,030500,4.32162,4.32168,4.31901,4.31901,0,0
NZDCNY,5,20250728,031000,4.31923,4.31941,4.3177,4.31789,0,0
NZDCNY,5,20250728,031500,4.31787,4.32003,4.31787,4.31827,0,0
NZDCNY,5,20250728,032000,4.31805,4.31805,4.31619,4.31731,0,0
NZDCNY,5,20250728,032500,4.31731,4.31835,4.31641,4.31797,0,0
NZDCNY,5,20250728,033000,4.31804,4.31855,4.31677,4.31714,0,0
NZDCNY,5,20250728,033500,4.31724,4.31724,4.31546,4.31552,0,0
NZDCNY,5,20250728,034000,4.31552,4.31621,4.31454,4.3159,0,0
NZDCNY,5,20250728,034500,4.3159,4.31594,4.31361,4.31396,0,0
NZDCNY,5,20250728,035000,4.31396,4.31396,4.31157,4.31182,0,0
NZDCNY,5,20250728,035500,4.31182,4.31261,4.31021,4.31039,0,0
NZDCNY,5,20250728,040000,4.31039,4.31155,4.30937,4.31018,0,0
NZDCNY,5,20250728,040500,4.31013,4.3123,4.31013,4.3123,0,0
NZDCNY,5,20250728,041000,4.3124,4.31294,4.31131,4.31258,0,0
NZDCNY,5,20250728,041500,4.31223,4.31331,4.31087,4.31164,0,0
NZDCNY,5,20250728,042000,4.31158,4.31477,4.31139,4.31477,0,0
NZDCNY,5,20250728,042500,4.31477,4.31541,4.31413,4.31424,0,0
NZDCNY,5,20250728,043000,4.31424,4.31552,4.31395,4.31491,0,0
NZDCNY,5,20250728,043500,4.31483,4.31492,4.31403,4.31482,0,0
NZDCNY,5,20250728,044000,4.31502,4.31538,4.31395,4.31489,0,0
NZDCNY,5,20250728,044500,4.31489,4.3151,4.31377,4.31382,0,0
NZDCNY,5,20250728,045000,4.31369,4.31602,4.31362,4.31547,0,0
NZDCNY,5,20250728,045500,4.31548,4.3163,4.31522,4.31602,0,0
NZDCNY,5,20250728,050000,4.31608,4.31644,4.31454,4.31561,0,0
NZDCNY,5,20250728,050500,4.31588,4.31621,4.31487,4.31487,0,0
NZDCNY,5,20250728,051000,4.31487,4.31502,4.31371,4.31444,0,0
NZDCNY,5,20250728,051500,4.31445,4.31487,4.31393,4.31402,0,0
NZDCNY,5,20250728,052000,4.31405,4.3142,4.31276,4.3137,0,0
NZDCNY,5,20250728,052500,4.31393,4.31418,4.3127,4.31308,0,0
NZDCNY,5,20250728,053000,4.31308,4.3131,4.31112,4.31162,0,0
NZDCNY,5,20250728,053500,4.31162,4.31258,4.31152,4.31216,0,0
NZDCNY,5,20250728,054000,4.31211,4.31244,4.31116,4.31118,0,0
NZDCNY,5,20250728,054500,4.31118,4.31201,4.31112,4.31169,0,0
NZDCNY,5,20250728,055000,4.31171,4.31171,4.3104,4.31122,0,0
NZDCNY,5,20250728,055500,4.31121,4.31157,4.31077,4.31136,0,0
NZDCNY,5,20250728,060000,4.31171,4.31242,4.31114,4.31142,0,0
NZDCNY,5,20250728,060500,4.3114,4.3114,4.30946,4.31013,0,0
NZDCNY,5,20250728,061000,4.31012,4.31051,4.3091,4.31002,0,0
NZDCNY,5,20250728,061500,4.31003,4.31047,4.30985,4.31009,0,0
NZDCNY,5,20250728,062000,4.3101,4.31052,4.30952,4.30971,0,0
NZDCNY,5,20250728,062500,4.30965,4.30969,4.30897,4.30921,0,0
NZDCNY,5,20250728,063000,4.3093,4.30986,4.30913,4.3095,0,0
NZDCNY,5,20250728,063500,4.3095,4.3095,4.30869,4.30871,0,0
NZDCNY,5,20250728,064000,4.30871,4.30871,4.30779,4.30838,0,0
NZDCNY,5,20250728,064500,4.30844,4.31024,4.30818,4.30964,0,0
NZDCNY,5,20250728,065000,4.30992,4.31001,4.30913,4.30983,0,0
NZDCNY,5,20250728,065500,4.30965,4.31,4.30925,4.30925,0,0
NZDCNY,5,20250728,070000,4.30925,4.31038,4.30877,4.30988,0,0
NZDCNY,5,20250728,070500,4.30998,4.31024,4.30904,4.30918,0,0
NZDCNY,5,20250728,071000,4.30918,4.30947,4.30856,4.30856,0,0
NZDCNY,5,20250728,071500,4.30858,4.30858,4.30735,4.30748,0,0
NZDCNY,5,20250728,072000,4.30759,4.30784,4.30688,4.30724,0,0
NZDCNY,5,20250728,072500,4.30711,4.30824,4.30711,4.30805,0,0
NZDCNY,5,20250728,073000,4.30803,4.30846,4.30777,4.30817,0,0
NZDCNY,5,20250728,073500,4.30783,4.30814,4.3074,4.30746,0,0
NZDCNY,5,20250728,074000,4.30749,4.30805,4.30725,4.30725,0,0
NZDCNY,5,20250728,074500,4.30725,4.30755,4.30684,4.30746,0,0
NZDCNY,5,20250728,075000,4.30753,4.30807,4.30697,4.30708,0,0
NZDCNY,5,20250728,075500,4.30707,4.30773,4.3068,4.30748,0,0
NZDCNY,5,20250728,080000,4.30778,4.30825,4.30639,4.30656,0,0
NZDCNY,5,20250728,080500,4.3064,4.3072,4.30627,4.30658,0,0
NZDCNY,5,20250728,081000,4.3066,4.3066,4.30496,4.30586,0,0
