<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHPAUD,5,20250728,031500,0.0266014,0.0266116,0.0266011,0.026607,0,0
PHPAUD,5,20250728,032000,0.0266087,0.0266176,0.0266087,0.0266145,0,0
PHPAUD,5,20250728,032500,0.0266148,0.026618,0.026606,0.0266105,0,0
PHPAUD,5,20250728,033000,0.0266105,0.0266188,0.0266045,0.0266176,0,0
PHPAUD,5,20250728,033500,0.0266176,0.0266188,0.0266082,0.0266094,0,0
PHPAUD,5,20250728,034000,0.0266099,0.0266248,0.0266099,0.0266217,0,0
PHPAUD,5,20250728,034500,0.0266229,0.0266361,0.0266187,0.0266358,0,0
PHPAUD,5,20250728,035000,0.0266358,0.0266511,0.0266358,0.0266436,0,0
PHPAUD,5,20250728,035500,0.0266436,0.0266601,0.0266427,0.0266589,0,0
PHPAUD,5,20250728,040000,0.0266589,0.0266853,0.0266589,0.0266772,0,0
PHPAUD,5,20250728,040500,0.0266776,0.0266843,0.0266708,0.0266708,0,0
PHPAUD,5,20250728,041000,0.0266696,0.0266733,0.0266629,0.0266674,0,0
PHPAUD,5,20250728,041500,0.0266695,0.0266767,0.0266641,0.0266733,0,0
PHPAUD,5,20250728,042000,0.0266737,0.0266804,0.0266693,0.0266732,0,0
PHPAUD,5,20250728,042500,0.0266732,0.0266846,0.0266732,0.0266796,0,0
PHPAUD,5,20250728,043000,0.0266796,0.0266829,0.0266702,0.0266708,0,0
PHPAUD,5,20250728,043500,0.0266708,0.0266765,0.0266674,0.0266758,0,0
PHPAUD,5,20250728,044000,0.0266758,0.0266833,0.0266713,0.0266729,0,0
PHPAUD,5,20250728,044500,0.0266771,0.0266776,0.0266716,0.026676,0,0
PHPAUD,5,20250728,045000,0.0266763,0.0266763,0.0266547,0.0266566,0,0
PHPAUD,5,20250728,045500,0.0266566,0.0266688,0.0266532,0.0266633,0,0
PHPAUD,5,20250728,050000,0.0266626,0.0266721,0.026652,0.0266563,0,0
PHPAUD,5,20250728,050500,0.0266563,0.0266632,0.0266542,0.0266632,0,0
PHPAUD,5,20250728,051000,0.0266632,0.0266679,0.0266609,0.0266609,0,0
PHPAUD,5,20250728,051500,0.0266609,0.0266609,0.0266514,0.0266581,0,0
PHPAUD,5,20250728,052000,0.0266581,0.0266703,0.0266578,0.0266635,0,0
PHPAUD,5,20250728,052500,0.0266626,0.0266694,0.0266603,0.026666,0,0
PHPAUD,5,20250728,053000,0.026666,0.0266822,0.0266654,0.0266702,0,0
PHPAUD,5,20250728,053500,0.0266702,0.0266702,0.0266598,0.0266628,0,0
PHPAUD,5,20250728,054000,0.0266628,0.0266706,0.02666,0.0266706,0,0
PHPAUD,5,20250728,054500,0.0266706,0.0266715,0.0266657,0.0266684,0,0
PHPAUD,5,20250728,055000,0.026669,0.026677,0.026669,0.026671,0,0
PHPAUD,5,20250728,055500,0.026671,0.0266744,0.0266694,0.026672,0,0
PHPAUD,5,20250728,060000,0.0266708,0.026682,0.0266634,0.0266778,0,0
PHPAUD,5,20250728,060500,0.0266778,0.0266821,0.0266701,0.0266765,0,0
PHPAUD,5,20250728,061000,0.0266765,0.026677,0.026666,0.02667,0,0
PHPAUD,5,20250728,061500,0.0266704,0.0266781,0.0266686,0.0266695,0,0
PHPAUD,5,20250728,062000,0.0266719,0.0266821,0.0266719,0.0266821,0,0
PHPAUD,5,20250728,062500,0.0266821,0.0266852,0.0266685,0.0266702,0,0
PHPAUD,5,20250728,063000,0.0266699,0.0266821,0.0266681,0.0266805,0,0
PHPAUD,5,20250728,063500,0.0266805,0.0266879,0.0266773,0.0266794,0,0
PHPAUD,5,20250728,064000,0.0266794,0.0266856,0.0266767,0.0266831,0,0
PHPAUD,5,20250728,064500,0.0266837,0.0266837,0.0266673,0.0266688,0,0
PHPAUD,5,20250728,065000,0.0266673,0.0266739,0.0266609,0.0266616,0,0
PHPAUD,5,20250728,065500,0.0266629,0.026672,0.0266622,0.0266696,0,0
PHPAUD,5,20250729,031500,0.0267748,0.0267748,0.0267626,0.0267707,0,0
PHPAUD,5,20250729,032000,0.0267707,0.02678,0.0267682,0.0267728,0,0
PHPAUD,5,20250729,032500,0.0267728,0.0267827,0.0267712,0.0267712,0,0
PHPAUD,5,20250729,033000,0.0267704,0.0267704,0.0267598,0.0267676,0,0
PHPAUD,5,20250729,033500,0.0267672,0.0267759,0.0267628,0.0267633,0,0
PHPAUD,5,20250729,034000,0.0267624,0.0267652,0.0267578,0.0267631,0,0
PHPAUD,5,20250729,034500,0.0267622,0.0267724,0.0267578,0.0267724,0,0
PHPAUD,5,20250729,035000,0.0267724,0.0267816,0.0267724,0.0267809,0,0
PHPAUD,5,20250729,035500,0.0267809,0.0267911,0.0267778,0.026789,0,0
PHPAUD,5,20250729,040000,0.026789,0.026789,0.0267762,0.0267811,0,0
PHPAUD,5,20250729,040500,0.0267811,0.0267811,0.0267644,0.0267686,0,0
PHPAUD,5,20250729,041000,0.0267686,0.0267802,0.026762,0.0267793,0,0
PHPAUD,5,20250729,041500,0.026779,0.0267879,0.0267759,0.0267859,0,0
PHPAUD,5,20250729,042000,0.026785,0.0267875,0.0267786,0.0267786,0,0
PHPAUD,5,20250729,042500,0.0267782,0.0267929,0.0267746,0.0267875,0,0
PHPAUD,5,20250729,043000,0.0267882,0.0267882,0.0267817,0.0267875,0,0
PHPAUD,5,20250729,043500,0.0267875,0.0267893,0.0267813,0.0267817,0,0
PHPAUD,5,20250729,044000,0.0267817,0.0267817,0.0267696,0.0267721,0,0
PHPAUD,5,20250729,044500,0.0267717,0.0267751,0.0267652,0.0267652,0,0
PHPAUD,5,20250729,045000,0.0267661,0.0267716,0.0267605,0.0267671,0,0
PHPAUD,5,20250729,045500,0.0267671,0.0267724,0.0267652,0.0267668,0,0
PHPAUD,5,20250729,050000,0.0267696,0.026779,0.0267645,0.026767,0,0
PHPAUD,5,20250729,050500,0.026767,0.0267739,0.026766,0.0267722,0,0
PHPAUD,5,20250729,051000,0.0267668,0.0267719,0.026761,0.0267687,0,0
PHPAUD,5,20250729,051500,0.0267683,0.0267773,0.0267636,0.0267636,0,0
PHPAUD,5,20250729,052000,0.0267636,0.0267686,0.0267586,0.0267616,0,0
PHPAUD,5,20250729,052500,0.0267616,0.0267691,0.0267616,0.0267662,0,0
PHPAUD,5,20250729,053000,0.0267662,0.026774,0.0267618,0.0267737,0,0
PHPAUD,5,20250729,053500,0.0267733,0.0267856,0.0267726,0.0267832,0,0
PHPAUD,5,20250729,054000,0.0267832,0.0267832,0.0267758,0.0267796,0,0
PHPAUD,5,20250729,054500,0.02678,0.0267801,0.0267725,0.0267747,0,0
PHPAUD,5,20250729,055000,0.026775,0.0267844,0.0267666,0.0267673,0,0
PHPAUD,5,20250729,055500,0.0267673,0.0267692,0.0267611,0.0267625,0,0
PHPAUD,5,20250729,060000,0.0267628,0.0267751,0.0267585,0.0267585,0,0
PHPAUD,5,20250729,060500,0.0267585,0.0267594,0.0267522,0.0267535,0,0
PHPAUD,5,20250729,061000,0.0267535,0.0267589,0.0267535,0.0267585,0,0
PHPAUD,5,20250729,061500,0.0267585,0.0267701,0.0267539,0.0267701,0,0
PHPAUD,5,20250729,062000,0.0267688,0.0267693,0.026756,0.0267607,0,0
PHPAUD,5,20250729,062500,0.0267603,0.0267716,0.0267603,0.0267679,0,0
PHPAUD,5,20250729,063000,0.0267676,0.0267787,0.0267676,0.0267758,0,0
PHPAUD,5,20250729,063500,0.0267763,0.0267763,0.0267711,0.0267723,0,0
PHPAUD,5,20250729,064000,0.0267723,0.0267752,0.0267674,0.0267752,0,0
PHPAUD,5,20250729,064500,0.0267752,0.0267752,0.0267544,0.0267549,0,0
