<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHPNOK,5,20250728,031500,0.177281,0.177436,0.177281,0.177378,0,0
PHPNOK,5,20250728,032000,0.177381,0.177425,0.177378,0.177416,0,0
PHPNOK,5,20250728,032500,0.17741,0.17741,0.177351,0.177388,0,0
PHPNOK,5,20250728,033000,0.177387,0.177485,0.177356,0.17747,0,0
PHPNOK,5,20250728,033500,0.177477,0.177512,0.177424,0.177454,0,0
PHPNOK,5,20250728,034000,0.177445,0.17755,0.177431,0.177539,0,0
PHPNOK,5,20250728,034500,0.177547,0.177574,0.177492,0.177574,0,0
PHPNOK,5,20250728,035000,0.17757,0.177702,0.17757,0.177598,0,0
PHPNOK,5,20250728,035500,0.177598,0.177745,0.177598,0.177742,0,0
PHPNOK,5,20250728,040000,0.177742,0.177906,0.177742,0.177885,0,0
PHPNOK,5,20250728,040500,0.177897,0.177923,0.177866,0.177887,0,0
PHPNOK,5,20250728,041000,0.177882,0.177923,0.177882,0.17792,0,0
PHPNOK,5,20250728,041500,0.17793,0.177966,0.177904,0.177959,0,0
PHPNOK,5,20250728,042000,0.177958,0.178022,0.177945,0.177994,0,0
PHPNOK,5,20250728,042500,0.177994,0.17805,0.177994,0.178042,0,0
PHPNOK,5,20250728,043000,0.178042,0.178053,0.177974,0.177976,0,0
PHPNOK,5,20250728,043500,0.177977,0.177992,0.177911,0.17795,0,0
PHPNOK,5,20250728,044000,0.177949,0.17799,0.177916,0.177921,0,0
PHPNOK,5,20250728,044500,0.177921,0.177952,0.177831,0.177841,0,0
PHPNOK,5,20250728,045000,0.177839,0.177839,0.17776,0.177779,0,0
PHPNOK,5,20250728,045500,0.177779,0.177834,0.177746,0.177808,0,0
PHPNOK,5,20250728,050000,0.177806,0.177845,0.177751,0.177765,0,0
PHPNOK,5,20250728,050500,0.177775,0.17779,0.177759,0.17779,0,0
PHPNOK,5,20250728,051000,0.17779,0.177799,0.177769,0.177769,0,0
PHPNOK,5,20250728,051500,0.17777,0.17777,0.177736,0.177754,0,0
PHPNOK,5,20250728,052000,0.177752,0.177817,0.17775,0.177783,0,0
PHPNOK,5,20250728,052500,0.177772,0.177778,0.1777,0.177755,0,0
PHPNOK,5,20250728,053000,0.177755,0.17778,0.177687,0.177734,0,0
PHPNOK,5,20250728,053500,0.177734,0.177741,0.177689,0.177689,0,0
PHPNOK,5,20250728,054000,0.177688,0.177702,0.177673,0.177693,0,0
PHPNOK,5,20250728,054500,0.177693,0.177716,0.177673,0.17771,0,0
PHPNOK,5,20250728,055000,0.177718,0.177768,0.177718,0.177726,0,0
PHPNOK,5,20250728,055500,0.177734,0.177741,0.177689,0.17771,0,0
PHPNOK,5,20250728,060000,0.177707,0.177782,0.177657,0.177753,0,0
PHPNOK,5,20250728,060500,0.177752,0.177774,0.177716,0.177736,0,0
