<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHPSGD,5,20250728,031500,0.0224057,0.022412,0.0224045,0.022405,0,0
PHPSGD,5,20250728,032000,0.0224052,0.0224088,0.022403,0.0224082,0,0
PHPSGD,5,20250728,032500,0.0224082,0.02241,0.0224055,0.0224097,0,0
PHPSGD,5,20250728,033000,0.0224095,0.0224168,0.0224077,0.022415,0,0
PHPSGD,5,20250728,033500,0.0224145,0.0224145,0.0224051,0.0224056,0,0
PHPSGD,5,20250728,034000,0.0224054,0.0224186,0.0224049,0.0224167,0,0
PHPSGD,5,20250728,034500,0.0224167,0.022421,0.0224133,0.0224189,0,0
PHPSGD,5,20250728,035000,0.0224195,0.0224284,0.0224195,0.0224246,0,0
PHPSGD,5,20250728,035500,0.0224246,0.022436,0.0224246,0.0224359,0,0
PHPSGD,5,20250728,040000,0.0224359,0.0224546,0.0224359,0.0224526,0,0
PHPSGD,5,20250728,040500,0.0224526,0.0224544,0.0224494,0.0224537,0,0
PHPSGD,5,20250728,041000,0.0224536,0.0224539,0.0224512,0.0224523,0,0
PHPSGD,5,20250728,041500,0.0224528,0.0224551,0.0224501,0.0224529,0,0
PHPSGD,5,20250728,042000,0.0224543,0.0224633,0.0224539,0.0224612,0,0
PHPSGD,5,20250728,042500,0.0224601,0.0224675,0.0224601,0.0224656,0,0
PHPSGD,5,20250728,043000,0.0224656,0.0224672,0.0224609,0.0224611,0,0
PHPSGD,5,20250728,043500,0.0224611,0.0224636,0.0224597,0.0224629,0,0
PHPSGD,5,20250728,044000,0.0224634,0.0224649,0.0224587,0.0224587,0,0
PHPSGD,5,20250728,044500,0.0224623,0.022463,0.0224574,0.0224583,0,0
PHPSGD,5,20250728,045000,0.0224583,0.0224583,0.0224467,0.0224472,0,0
PHPSGD,5,20250728,045500,0.0224474,0.0224502,0.0224448,0.0224472,0,0
PHPSGD,5,20250728,050000,0.0224474,0.0224482,0.0224394,0.0224394,0,0
PHPSGD,5,20250728,050500,0.0224399,0.0224406,0.0224385,0.0224394,0,0
PHPSGD,5,20250728,051000,0.0224394,0.02244,0.0224384,0.0224388,0,0
PHPSGD,5,20250728,051500,0.0224388,0.0224388,0.022435,0.0224365,0,0
PHPSGD,5,20250728,052000,0.0224361,0.0224398,0.0224361,0.0224381,0,0
PHPSGD,5,20250728,052500,0.0224374,0.0224411,0.022437,0.0224404,0,0
PHPSGD,5,20250728,053000,0.0224404,0.0224442,0.0224339,0.0224341,0,0
PHPSGD,5,20250728,053500,0.0224341,0.0224341,0.0224302,0.0224304,0,0
PHPSGD,5,20250728,054000,0.0224309,0.022431,0.0224293,0.022431,0,0
PHPSGD,5,20250728,054500,0.022431,0.022431,0.0224294,0.0224305,0,0
PHPSGD,5,20250728,055000,0.0224303,0.022431,0.0224274,0.0224276,0,0
PHPSGD,5,20250728,055500,0.0224276,0.0224281,0.0224255,0.0224263,0,0
PHPSGD,5,20250728,060000,0.0224259,0.0224308,0.0224227,0.0224288,0,0
PHPSGD,5,20250728,060500,0.0224286,0.0224286,0.0224238,0.0224242,0,0
PHPSGD,5,20250728,061000,0.0224242,0.0224249,0.0224203,0.0224229,0,0
PHPSGD,5,20250728,061500,0.0224227,0.0224278,0.022421,0.0224217,0,0
PHPSGD,5,20250728,062000,0.0224216,0.0224305,0.0224212,0.0224303,0,0
PHPSGD,5,20250728,062500,0.02243,0.0224312,0.022418,0.0224202,0,0
PHPSGD,5,20250728,063000,0.0224202,0.0224302,0.0224201,0.0224293,0,0
PHPSGD,5,20250728,063500,0.0224293,0.0224311,0.0224253,0.0224265,0,0
PHPSGD,5,20250728,064000,0.0224265,0.0224322,0.0224251,0.0224315,0,0
PHPSGD,5,20250728,064500,0.0224317,0.0224317,0.0224236,0.0224238,0,0
PHPSGD,5,20250728,065000,0.0224231,0.0224285,0.0224212,0.0224212,0,0
PHPSGD,5,20250728,065500,0.0224218,0.0224295,0.0224218,0.0224288,0,0
PHPSGD,5,20250729,031500,0.0224634,0.0224663,0.0224596,0.0224659,0,0
PHPSGD,5,20250729,032000,0.0224659,0.0224725,0.0224659,0.0224705,0,0
PHPSGD,5,20250729,032500,0.02247,0.0224791,0.02247,0.0224727,0,0
PHPSGD,5,20250729,033000,0.0224716,0.0224716,0.022459,0.0224642,0,0
PHPSGD,5,20250729,033500,0.0224642,0.02247,0.0224593,0.0224595,0,0
