<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLNXPT,5,20250728,000000,0.000196655,0.000197316,0.000195866,0.000196036,0,0
PLNXPT,5,20250728,000500,0.000196036,0.000196648,0.000195565,0.000195729,0,0
PLNXPT,5,20250728,001000,0.000195724,0.000196355,0.000195603,0.000195603,0,0
PLNXPT,5,20250728,001500,0.000195603,0.000196286,0.000195581,0.000195635,0,0
PLNXPT,5,20250728,002000,0.000195637,0.000196282,0.000195543,0.000195659,0,0
PLNXPT,5,20250728,002500,0.000195659,0.000196276,0.00019538,0.000195426,0,0
PLNXPT,5,20250728,003000,0.000195426,0.000196209,0.000195426,0.000195583,0,0
PLNXPT,5,20250728,003500,0.000195611,0.000196287,0.000195579,0.000195605,0,0
PLNXPT,5,20250728,004000,0.000195605,0.000196128,0.000194576,0.000194845,0,0
PLNXPT,5,20250728,004500,0.000194877,0.000195958,0.000194763,0.000195415,0,0
PLNXPT,5,20250728,005000,0.000195367,0.000195973,0.000194997,0.000195366,0,0
PLNXPT,5,20250728,005500,0.000195366,0.000196325,0.000195052,0.000195362,0,0
PLNXPT,5,20250728,010000,0.000195366,0.000195937,0.000195033,0.000195155,0,0
PLNXPT,5,20250728,010500,0.000195136,0.000195501,0.000194797,0.000195185,0,0
PLNXPT,5,20250728,011000,0.000195192,0.000196137,0.000195039,0.000195305,0,0
PLNXPT,5,20250728,011500,0.000195305,0.000195951,0.00019511,0.000195227,0,0
PLNXPT,5,20250728,012000,0.000194966,0.00019602,0.000194966,0.000195394,0,0
PLNXPT,5,20250728,012500,0.000195394,0.000196121,0.000195136,0.000195286,0,0
PLNXPT,5,20250728,013000,0.000195437,0.000196073,0.000195186,0.000195447,0,0
PLNXPT,5,20250728,013500,0.000195415,0.000196009,0.000195369,0.000195448,0,0
PLNXPT,5,20250728,014000,0.000195432,0.000196038,0.000195172,0.000195336,0,0
PLNXPT,5,20250728,014500,0.000195249,0.000196411,0.000195249,0.000195567,0,0
PLNXPT,5,20250728,015000,0.000195567,0.00019636,0.000195486,0.000195559,0,0
PLNXPT,5,20250728,015500,0.000195549,0.000196128,0.000195317,0.00019552,0,0
PLNXPT,5,20250728,020000,0.00019552,0.00019603,0.000195324,0.000195566,0,0
PLNXPT,5,20250728,020500,0.000195465,0.000195953,0.000195369,0.000195551,0,0
PLNXPT,5,20250728,021000,0.000195536,0.000195883,0.000195464,0.000195753,0,0
PLNXPT,5,20250728,021500,0.000195739,0.000196097,0.000195342,0.000195469,0,0
PLNXPT,5,20250728,022000,0.000195489,0.000195617,0.000195395,0.000195514,0,0
PLNXPT,5,20250728,022500,0.000195524,0.000195715,0.000195452,0.00019556,0,0
PLNXPT,5,20250728,023000,0.000195571,0.000195642,0.000195371,0.000195418,0,0
PLNXPT,5,20250728,023500,0.000195334,0.000195424,0.000195124,0.000195409,0,0
PLNXPT,5,20250728,024000,0.000195409,0.000195498,0.000195327,0.000195442,0,0
PLNXPT,5,20250728,024500,0.00019544,0.00019567,0.000195399,0.000195431,0,0
PLNXPT,5,20250728,025000,0.000195458,0.000195466,0.000194878,0.000195181,0,0
PLNXPT,5,20250728,025500,0.000195203,0.000195274,0.000194955,0.00019524,0,0
PLNXPT,5,20250728,030000,0.00019524,0.000195307,0.000194964,0.000195262,0,0
PLNXPT,5,20250728,030500,0.000195252,0.000195286,0.000194838,0.00019508,0,0
PLNXPT,5,20250728,031000,0.000195039,0.000195228,0.000194989,0.000195149,0,0
PLNXPT,5,20250728,031500,0.000195149,0.000195326,0.000195146,0.000195167,0,0
PLNXPT,5,20250728,032000,0.00019513,0.00019519,0.000195048,0.000195126,0,0
PLNXPT,5,20250728,032500,0.000195126,0.000195197,0.000195022,0.000195038,0,0
PLNXPT,5,20250728,033000,0.000195031,0.000195167,0.000195031,0.000195033,0,0
PLNXPT,5,20250728,033500,0.000195047,0.000195078,0.000194893,0.000195078,0,0
PLNXPT,5,20250728,034000,0.000195053,0.000195104,0.000194891,0.000194954,0,0
PLNXPT,5,20250728,034500,0.000194954,0.00019517,0.000194954,0.000195067,0,0
PLNXPT,5,20250728,035000,0.000194998,0.000195131,0.000194957,0.000195094,0,0
PLNXPT,5,20250728,035500,0.000195094,0.000195421,0.000195031,0.000195325,0,0
PLNXPT,5,20250728,040000,0.000195325,0.000195586,0.000195223,0.000195461,0,0
PLNXPT,5,20250728,040500,0.000195503,0.000195654,0.0001954,0.000195434,0,0
PLNXPT,5,20250728,041000,0.000195429,0.000195821,0.000195322,0.000195351,0,0
PLNXPT,5,20250728,041500,0.000195321,0.000195378,0.000195228,0.000195289,0,0
PLNXPT,5,20250728,042000,0.000195286,0.00019551,0.000195256,0.00019551,0,0
PLNXPT,5,20250728,042500,0.000195503,0.000195544,0.000195183,0.000195222,0,0
PLNXPT,5,20250728,043000,0.000195222,0.000195368,0.000195011,0.000195223,0,0
PLNXPT,5,20250728,043500,0.000195223,0.000195319,0.000195061,0.00019519,0,0
PLNXPT,5,20250728,044000,0.000195235,0.000195429,0.000195095,0.000195389,0,0
PLNXPT,5,20250728,044500,0.000195389,0.000195512,0.000195237,0.00019538,0,0
PLNXPT,5,20250728,045000,0.000195382,0.000195705,0.000195224,0.000195299,0,0
PLNXPT,5,20250728,045500,0.000195299,0.000195374,0.00019518,0.000195277,0,0
PLNXPT,5,20250728,050000,0.000195277,0.000195363,0.00019527,0.000195308,0,0
PLNXPT,5,20250728,050500,0.000195329,0.00019533,0.000194916,0.00019504,0,0
PLNXPT,5,20250728,051000,0.00019504,0.000195104,0.000194965,0.000195008,0,0
PLNXPT,5,20250728,051500,0.000195012,0.000195015,0.000194802,0.000194936,0,0
PLNXPT,5,20250728,052000,0.000194935,0.00019502,0.000194849,0.00019502,0,0
PLNXPT,5,20250728,052500,0.000194995,0.000195152,0.000194914,0.000195134,0,0
PLNXPT,5,20250728,053000,0.000195134,0.000195213,0.000194957,0.00019509,0,0
PLNXPT,5,20250728,053500,0.00019509,0.00019511,0.000194759,0.000194906,0,0
PLNXPT,5,20250728,054000,0.000194906,0.000194983,0.000194817,0.000194946,0,0
PLNXPT,5,20250728,054500,0.000194946,0.000194949,0.000194774,0.000194926,0,0
PLNXPT,5,20250728,055000,0.000194924,0.000194959,0.000194788,0.000194885,0,0
PLNXPT,5,20250728,055500,0.000194885,0.000194947,0.000194772,0.000194817,0,0
PLNXPT,5,20250728,060000,0.000194859,0.000194909,0.000194702,0.000194742,0,0
PLNXPT,5,20250728,060500,0.000194742,0.000194863,0.000194698,0.000194803,0,0
PLNXPT,5,20250728,061000,0.000194803,0.00019486,0.000194676,0.00019473,0,0
PLNXPT,5,20250728,061500,0.000194697,0.000194799,0.000194614,0.000194685,0,0
PLNXPT,5,20250728,062000,0.000194683,0.000194834,0.000194583,0.000194657,0,0
PLNXPT,5,20250728,062500,0.000194653,0.000194866,0.000194653,0.000194783,0,0
PLNXPT,5,20250728,063000,0.000194783,0.000194836,0.000194642,0.000194668,0,0
PLNXPT,5,20250728,063500,0.000194643,0.000194746,0.000194614,0.000194667,0,0
PLNXPT,5,20250728,064000,0.000194667,0.000194771,0.000194638,0.000194724,0,0
PLNXPT,5,20250728,064500,0.000194701,0.000194738,0.000194604,0.00019464,0,0
PLNXPT,5,20250728,065000,0.000194647,0.000194661,0.000194478,0.000194586,0,0
PLNXPT,5,20250728,065500,0.000194608,0.000194676,0.000194478,0.00019462,0,0
PLNXPT,5,20250728,070000,0.00019462,0.00019462,0.000194446,0.000194571,0,0
PLNXPT,5,20250728,070500,0.000194574,0.000194652,0.000194384,0.000194384,0,0
PLNXPT,5,20250728,071000,0.000194384,0.000194466,0.000194325,0.000194447,0,0
PLNXPT,5,20250728,071500,0.00019444,0.000194466,0.000194365,0.000194381,0,0
PLNXPT,5,20250728,072000,0.000194381,0.000194411,0.000194242,0.000194332,0,0
PLNXPT,5,20250728,072500,0.000194325,0.000194449,0.000194262,0.000194368,0,0
PLNXPT,5,20250728,073000,0.00019437,0.00019444,0.000194112,0.000194327,0,0
PLNXPT,5,20250728,073500,0.000194293,0.000194428,0.000194223,0.000194368,0,0
PLNXPT,5,20250728,074000,0.000194368,0.000194531,0.000194268,0.000194465,0,0
PLNXPT,5,20250728,074500,0.000194465,0.000194517,0.000194259,0.000194302,0,0
PLNXPT,5,20250728,075000,0.000194287,0.000194287,0.000194076,0.000194131,0,0
PLNXPT,5,20250728,075500,0.000194131,0.00019429,0.000193942,0.000193952,0,0
PLNXPT,5,20250728,080000,0.000193953,0.000194386,0.000193897,0.000194317,0,0
PLNXPT,5,20250728,080500,0.000194349,0.000194366,0.000194006,0.000194129,0,0
PLNXPT,5,20250728,081000,0.00019411,0.000194136,0.000193861,0.000193881,0,0
PLNXPT,5,20250728,081500,0.000193887,0.000194112,0.000193861,0.000193996,0,0
PLNXPT,5,20250728,082000,0.000193953,0.000194096,0.00019394,0.000194049,0,0
PLNXPT,5,20250728,082500,0.000194059,0.000194111,0.000193865,0.000194098,0,0
PLNXPT,5,20250728,083000,0.000194083,0.000194198,0.000193917,0.000194045,0,0
PLNXPT,5,20250728,083500,0.000194026,0.000194137,0.000193901,0.000194071,0,0
PLNXPT,5,20250728,084000,0.000194071,0.00019417,0.000193997,0.000194032,0,0
PLNXPT,5,20250728,084500,0.000194051,0.000194551,0.000194044,0.000194551,0,0
PLNXPT,5,20250728,085000,0.000194551,0.000195252,0.000194401,0.000195093,0,0
PLNXPT,5,20250728,085500,0.000195093,0.000195243,0.000194743,0.000194905,0,0
PLNXPT,5,20250728,090000,0.000194886,0.000194971,0.000194452,0.000194736,0,0
PLNXPT,5,20250728,090500,0.000194737,0.000195354,0.000194716,0.00019502,0,0
PLNXPT,5,20250728,091000,0.000194994,0.000195295,0.000194811,0.000195114,0,0
PLNXPT,5,20250728,091500,0.000195114,0.000195229,0.000194899,0.000195183,0,0
PLNXPT,5,20250728,092000,0.000195183,0.000195246,0.000195028,0.000195089,0,0
PLNXPT,5,20250728,092500,0.000195093,0.000195562,0.000194974,0.000195194,0,0
PLNXPT,5,20250728,093000,0.00019514,0.00019522,0.000194902,0.000194991,0,0
PLNXPT,5,20250728,093500,0.000194979,0.000195339,0.000194957,0.000194957,0,0
PLNXPT,5,20250728,094000,0.000194957,0.000195185,0.000194836,0.000194958,0,0
PLNXPT,5,20250728,094500,0.000194958,0.000194978,0.000194711,0.000194839,0,0
PLNXPT,5,20250728,095000,0.000194836,0.000194948,0.00019459,0.00019463,0,0
PLNXPT,5,20250728,095500,0.00019462,0.000194884,0.000194595,0.000194615,0,0
PLNXPT,5,20250728,100000,0.000194684,0.000194907,0.00019449,0.000194546,0,0
PLNXPT,5,20250728,100500,0.000194521,0.000194707,0.000194374,0.000194493,0,0
PLNXPT,5,20250728,101000,0.000194472,0.000194635,0.000194354,0.00019456,0,0
