<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RONCLP,5,20250728,143000,222.061,222.178,222.061,222.169,0,0
RONCLP,5,20250728,143500,222.049,222.049,222.049,222.049,0,0
RONCLP,5,20250728,144000,222.006,222.119,222.006,222.11,0,0
RONCLP,5,20250728,144500,222.11,222.206,222.089,222.192,0,0
RONCLP,5,20250728,145000,222.192,222.232,222.08,222.209,0,0
RONCLP,5,20250728,145500,222.475,222.518,222.371,222.417,0,0
RONCLP,5,20250728,150000,222.325,222.522,222.325,222.383,0,0
RONCLP,5,20250728,150500,222.263,222.263,222.263,222.263,0,0
RONCLP,5,20250728,151000,222.148,222.148,222.148,222.148,0,0
RONCLP,5,20250728,151500,222.031,222.156,221.908,222.156,0,0
RONCLP,5,20250728,152000,222.019,222.019,221.911,222.016,0,0
RONCLP,5,20250728,152500,222.039,222.039,221.937,221.937,0,0
RONCLP,5,20250728,153000,221.825,221.825,221.724,221.724,0,0
RONCLP,5,20250728,153500,221.816,221.816,221.816,221.816,0,0
RONCLP,5,20250728,154000,221.91,221.91,221.91,221.91,0,0
RONCLP,5,20250728,154500,221.853,221.963,221.853,221.856,0,0
RONCLP,5,20250728,155000,221.964,222.074,221.964,222.074,0,0
RONCLP,5,20250728,155500,222.17,222.277,222.17,222.277,0,0
RONCLP,5,20250728,160000,222.424,222.724,222.424,222.724,0,0
RONCLP,5,20250728,160500,222.724,222.837,222.542,222.542,0,0
RONCLP,5,20250728,161000,222.542,222.788,222.542,222.788,0,0
RONCLP,5,20250728,161500,222.694,222.694,222.694,222.694,0,0
RONCLP,5,20250728,162000,222.571,222.874,222.571,222.874,0,0
RONCLP,5,20250728,162500,222.874,222.986,222.753,222.753,0,0
RONCLP,5,20250728,163000,222.753,222.753,222.478,222.478,0,0
RONCLP,5,20250728,163500,222.581,222.726,222.581,222.726,0,0
RONCLP,5,20250728,164000,222.634,222.634,222.634,222.634,0,0
RONCLP,5,20250728,164500,222.726,222.822,222.726,222.726,0,0
RONCLP,5,20250728,165000,222.764,222.764,222.625,222.717,0,0
RONCLP,5,20250728,165500,222.827,222.924,222.827,222.924,0,0
RONCLP,5,20250729,143000,220.179,220.276,220.166,220.166,0,0
RONCLP,5,20250729,143500,220.28,220.409,220.28,220.409,0,0
RONCLP,5,20250729,144000,220.289,220.484,220.289,220.47,0,0
RONCLP,5,20250729,144500,220.377,220.377,220.274,220.274,0,0
RONCLP,5,20250729,145000,220.374,220.374,220.261,220.261,0,0
RONCLP,5,20250729,145500,220.151,220.276,220.151,220.276,0,0
RONCLP,5,20250729,150000,220.176,220.266,220.176,220.176,0,0
RONCLP,5,20250729,150500,220.187,220.187,220.187,220.187,0,0
RONCLP,5,20250729,151000,220.077,220.077,219.963,219.963,0,0
RONCLP,5,20250729,151500,220.079,220.079,220.079,220.079,0,0
RONCLP,5,20250729,152000,220.179,220.179,220.084,220.084,0,0
RONCLP,5,20250729,152500,220.104,220.104,220.104,220.104,0,0
RONCLP,5,20250729,153000,220.235,220.235,220.125,220.125,0,0
RONCLP,5,20250729,153500,220.257,220.257,220.15,220.252,0,0
RONCLP,5,20250729,154000,220.372,220.372,220.236,220.236,0,0
RONCLP,5,20250729,154500,220.336,220.336,220.336,220.336,0,0
RONCLP,5,20250729,155000,220.304,220.402,220.304,220.402,0,0
RONCLP,5,20250729,155500,220.527,220.527,220.527,220.527,0,0
RONCLP,5,20250729,160000,220.409,220.518,220.304,220.518,0,0
RONCLP,5,20250729,160500,220.518,220.518,220.214,220.214,0,0
RONCLP,5,20250729,161000,220.197,220.197,220.197,220.197,0,0
RONCLP,5,20250729,161500,220.106,220.106,219.894,219.994,0,0
