<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RONMYR,5,20250728,081000,0.97719,0.977392,0.97719,0.977392,0,0
RONMYR,5,20250728,081500,0.977359,0.977454,0.977359,0.977415,0,0
RONMYR,5,20250728,082000,0.977253,0.977253,0.976146,0.976373,0,0
RONMYR,5,20250728,082500,0.976512,0.9767,0.975861,0.9767,0,0
RONMYR,5,20250728,083000,0.976512,0.976834,0.976512,0.976834,0,0
RONMYR,5,20250728,083500,0.97687,0.97687,0.976688,0.976776,0,0
RONMYR,5,20250728,084000,0.97675,0.97681,0.976674,0.976734,0,0
RONMYR,5,20250728,084500,0.976799,0.976912,0.976755,0.976755,0,0
RONMYR,5,20250728,085000,0.976759,0.976919,0.976759,0.976919,0,0
RONMYR,5,20250728,085500,0.977023,0.977474,0.977023,0.97738,0,0
RONMYR,5,20250728,090000,0.97731,0.97738,0.976787,0.976787,0,0
RONMYR,5,20250728,090500,0.976787,0.977011,0.976768,0.97684,0,0
RONMYR,5,20250728,091000,0.976835,0.976835,0.976729,0.976729,0,0
RONMYR,5,20250728,091500,0.976771,0.976771,0.976609,0.976671,0,0
RONMYR,5,20250728,092000,0.976741,0.977247,0.97671,0.977247,0,0
RONMYR,5,20250728,092500,0.977226,0.977226,0.976,0.976,0,0
RONMYR,5,20250728,093000,0.976,0.976,0.975008,0.975609,0,0
RONMYR,5,20250728,093500,0.975768,0.975914,0.975441,0.975441,0,0
RONMYR,5,20250728,094000,0.975335,0.975395,0.975325,0.975395,0,0
RONMYR,5,20250728,094500,0.975378,0.975378,0.974765,0.974963,0,0
RONMYR,5,20250728,095000,0.974942,0.974942,0.974448,0.974657,0,0
RONMYR,5,20250728,095500,0.974763,0.974872,0.973692,0.974303,0,0
RONMYR,5,20250729,081000,0.967398,0.96741,0.966843,0.966843,0,0
RONMYR,5,20250729,081500,0.966688,0.966811,0.966659,0.966725,0,0
RONMYR,5,20250729,082000,0.966809,0.966809,0.966401,0.966401,0,0
RONMYR,5,20250729,082500,0.966031,0.966243,0.965339,0.965396,0,0
RONMYR,5,20250729,083000,0.965579,0.965866,0.964743,0.964743,0,0
RONMYR,5,20250729,083500,0.964084,0.96473,0.964048,0.96473,0,0
RONMYR,5,20250729,084000,0.964732,0.966114,0.964732,0.966114,0,0
RONMYR,5,20250729,084500,0.966039,0.966108,0.965563,0.965563,0,0
RONMYR,5,20250729,085000,0.965556,0.965556,0.965005,0.96519,0,0
RONMYR,5,20250729,085500,0.965791,0.965791,0.963424,0.963424,0,0
RONMYR,5,20250729,090000,0.963928,0.964194,0.963689,0.964194,0,0
RONMYR,5,20250729,090500,0.96421,0.96421,0.963638,0.963754,0,0
RONMYR,5,20250729,091000,0.963811,0.963811,0.962642,0.963281,0,0
RONMYR,5,20250729,091500,0.963335,0.963422,0.963225,0.963225,0,0
RONMYR,5,20250729,092000,0.963234,0.963828,0.963234,0.963626,0,0
RONMYR,5,20250729,092500,0.964064,0.964064,0.963506,0.963754,0,0
RONMYR,5,20250729,093000,0.963567,0.963858,0.96308,0.963858,0,0
RONMYR,5,20250729,093500,0.963376,0.963376,0.963158,0.963224,0,0
RONMYR,5,20250729,094000,0.963071,0.963706,0.963071,0.963706,0,0
RONMYR,5,20250729,094500,0.963699,0.964198,0.963633,0.964166,0,0
RONMYR,5,20250729,095000,0.964141,0.964492,0.964009,0.964492,0,0
RONMYR,5,20250729,095500,0.964577,0.964693,0.964463,0.964693,0,0
RONMYR,5,20250730,080000,0.963193,0.963211,0.963193,0.963211,0,0
RONMYR,5,20250730,080500,0.963256,0.963334,0.962735,0.962735,0,0
RONMYR,5,20250730,081000,0.962674,0.963175,0.962674,0.963175,0,0
RONMYR,5,20250730,081500,0.963204,0.963254,0.963088,0.963254,0,0
RONMYR,5,20250730,082000,0.963222,0.963661,0.963222,0.963656,0,0
RONMYR,5,20250730,082500,0.963608,0.963624,0.963608,0.963615,0,0
RONMYR,5,20250730,083000,0.963677,0.963709,0.963649,0.963709,0,0
RONMYR,5,20250730,083500,0.963675,0.963755,0.963675,0.963695,0,0
RONMYR,5,20250730,084000,0.963716,0.963873,0.963693,0.963873,0,0
RONMYR,5,20250730,084500,0.963805,0.963805,0.963736,0.963791,0,0
RONMYR,5,20250730,085000,0.963768,0.964559,0.963768,0.964559,0,0
RONMYR,5,20250730,085500,0.964536,0.964599,0.964381,0.964599,0,0
RONMYR,5,20250730,090000,0.964533,0.964565,0.964483,0.964565,0,0
RONMYR,5,20250730,090500,0.964503,0.965006,0.964485,0.964913,0,0
RONMYR,5,20250730,091000,0.964949,0.964949,0.964779,0.964779,0,0
RONMYR,5,20250730,091500,0.964808,0.964808,0.964169,0.964322,0,0
RONMYR,5,20250730,092000,0.964297,0.964297,0.96421,0.96421,0,0
RONMYR,5,20250730,092500,0.964197,0.964292,0.964197,0.964292,0,0
RONMYR,5,20250730,093000,0.964326,0.964766,0.964326,0.964547,0,0
