<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RONRUB,5,20250728,081500,18.3822,18.3822,18.3822,18.3822,0,0
RONRUB,5,20250728,082000,18.3733,18.3733,18.3322,18.3588,0,0
RONRUB,5,20250728,082500,18.3495,18.3495,18.3495,18.3495,0,0
RONRUB,5,20250728,084500,18.3516,18.3516,18.3516,18.3516,0,0
RONRUB,5,20250728,085500,18.3601,18.3601,18.3601,18.3601,0,0
RONRUB,5,20250728,090000,18.337,18.337,18.3285,18.3285,0,0
RONRUB,5,20250728,090500,18.3323,18.3323,18.3323,18.3323,0,0
RONRUB,5,20250728,091000,18.3383,18.3383,18.3383,18.3383,0,0
RONRUB,5,20250728,092000,18.3472,18.3472,18.3472,18.3472,0,0
RONRUB,5,20250728,092500,18.3415,18.3609,18.3415,18.3437,0,0
RONRUB,5,20250728,093000,18.3504,18.3504,18.3275,18.3368,0,0
RONRUB,5,20250728,093500,18.3206,18.3437,18.3206,18.3348,0,0
RONRUB,5,20250728,094000,18.3436,18.3891,18.3436,18.3891,0,0
RONRUB,5,20250728,094500,18.3891,18.3952,18.3806,18.3952,0,0
RONRUB,5,20250728,095000,18.3787,18.3787,18.3255,18.3255,0,0
RONRUB,5,20250728,095500,18.3154,18.3304,18.3154,18.3207,0,0
RONRUB,5,20250728,100000,18.3299,18.4678,18.3299,18.4678,0,0
RONRUB,5,20250728,100500,18.4704,18.4704,18.4462,18.4654,0,0
RONRUB,5,20250728,101000,18.4787,18.4787,18.3619,18.3925,0,0
RONRUB,5,20250728,102000,18.4018,18.4018,18.3862,18.3862,0,0
RONRUB,5,20250728,102500,18.3721,18.4176,18.3721,18.4176,0,0
RONRUB,5,20250728,103000,18.4214,18.4214,18.4214,18.4214,0,0
RONRUB,5,20250728,103500,18.4038,18.479,18.4038,18.4615,0,0
RONRUB,5,20250728,104000,18.4905,18.4934,18.469,18.4934,0,0
RONRUB,5,20250728,104500,18.4763,18.4763,18.4612,18.4612,0,0
RONRUB,5,20250728,105000,18.4573,18.4573,18.4488,18.4488,0,0
RONRUB,5,20250728,105500,18.4556,18.4723,18.327,18.3354,0,0
RONRUB,5,20250728,110500,18.3262,18.4183,18.3262,18.4183,0,0
RONRUB,5,20250728,111000,18.4277,18.4277,18.4035,18.415,0,0
RONRUB,5,20250728,111500,18.415,18.415,18.4116,18.4116,0,0
RONRUB,5,20250728,112000,18.3978,18.4093,18.3978,18.4093,0,0
RONRUB,5,20250728,112500,18.4093,18.4171,18.4008,18.4008,0,0
RONRUB,5,20250728,113000,18.4262,18.4262,18.4262,18.4262,0,0
RONRUB,5,20250728,113500,18.4117,18.4117,18.4028,18.4113,0,0
RONRUB,5,20250728,114000,18.4112,18.4112,18.3975,18.4047,0,0
RONRUB,5,20250728,114500,18.4185,18.4185,18.4185,18.4185,0,0
RONRUB,5,20250728,115000,18.4162,18.4162,18.4162,18.4162,0,0
RONRUB,5,20250728,115500,18.4188,18.4188,18.4162,18.4162,0,0
RONRUB,5,20250728,120000,18.4073,18.4073,18.4073,18.4073,0,0
RONRUB,5,20250728,120500,18.4077,18.4212,18.4077,18.4077,0,0
RONRUB,5,20250728,121500,18.4198,18.4198,18.4077,18.4077,0,0
RONRUB,5,20250728,122000,18.3984,18.3984,18.3984,18.3984,0,0
RONRUB,5,20250728,122500,18.3955,18.3955,18.3955,18.3955,0,0
RONRUB,5,20250728,123000,18.4048,18.4048,18.4048,18.4048,0,0
RONRUB,5,20250728,123500,18.3933,18.4588,18.3933,18.3933,0,0
RONRUB,5,20250728,124000,18.3933,18.4017,18.3933,18.4017,0,0
