<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RUBMYR,5,20250728,081500,0.0531735,0.0531738,0.0531716,0.0531716,0,0
RUBMYR,5,20250728,082000,0.0531628,0.0532602,0.0531628,0.0531826,0,0
RUBMYR,5,20250728,082500,0.0531902,0.0532274,0.0531817,0.0532274,0,0
RUBMYR,5,20250728,083000,0.0532172,0.0532347,0.0532172,0.0532347,0,0
RUBMYR,5,20250728,083500,0.0532367,0.0532367,0.0532268,0.0532316,0,0
RUBMYR,5,20250728,084000,0.0532302,0.0532335,0.053226,0.0532293,0,0
RUBMYR,5,20250728,084500,0.0532328,0.0532328,0.0532243,0.0532243,0,0
RUBMYR,5,20250728,085000,0.0532245,0.0532332,0.0532245,0.0532332,0,0
RUBMYR,5,20250728,085500,0.0532389,0.0532389,0.0532263,0.0532337,0,0
RUBMYR,5,20250728,090000,0.0532299,0.0532973,0.0532299,0.0532931,0,0
RUBMYR,5,20250728,090500,0.0532931,0.0532943,0.053285,0.053285,0,0
RUBMYR,5,20250728,091000,0.0532847,0.0532847,0.0532614,0.0532614,0,0
RUBMYR,5,20250728,091500,0.0532637,0.0532637,0.0532549,0.0532583,0,0
RUBMYR,5,20250728,092000,0.0532621,0.0532638,0.0532585,0.0532638,0,0
RUBMYR,5,20250728,092500,0.0532627,0.0532795,0.0532046,0.0532062,0,0
RUBMYR,5,20250728,093000,0.0531867,0.0532047,0.0531867,0.0532047,0,0
RUBMYR,5,20250728,093500,0.0532134,0.0532602,0.0531932,0.0532015,0,0
RUBMYR,5,20250728,094000,0.0531957,0.0531957,0.0530418,0.0530418,0,0
RUBMYR,5,20250728,094500,0.0530418,0.0530418,0.0529901,0.0530009,0,0
RUBMYR,5,20250728,095000,0.0530485,0.0531856,0.0530474,0.0531856,0,0
RUBMYR,5,20250728,095500,0.0531914,0.0531973,0.0531471,0.0531535,0,0
RUBMYR,5,20250729,080000,0.0522333,0.0522333,0.052223,0.052223,0,0
RUBMYR,5,20250729,080500,0.0522327,0.0522327,0.0522063,0.0522247,0,0
RUBMYR,5,20250729,081000,0.0522143,0.0522562,0.0520984,0.0521844,0,0
RUBMYR,5,20250729,081500,0.052176,0.0521827,0.0521744,0.052178,0,0
RUBMYR,5,20250729,082000,0.0521825,0.0521825,0.0521605,0.0521605,0,0
RUBMYR,5,20250729,082500,0.0521405,0.052152,0.052127,0.0521301,0,0
RUBMYR,5,20250729,083000,0.0521399,0.0521554,0.0521399,0.0521483,0,0
RUBMYR,5,20250729,083500,0.0521494,0.0521583,0.0521463,0.0521583,0,0
RUBMYR,5,20250729,084000,0.0521584,0.0521745,0.0520111,0.0520111,0,0
RUBMYR,5,20250729,084500,0.051921,0.0520071,0.0518258,0.0519426,0,0
RUBMYR,5,20250729,085000,0.0519426,0.0519426,0.0519362,0.0519402,0,0
RUBMYR,5,20250729,085500,0.0519477,0.0519477,0.0519373,0.0519421,0,0
RUBMYR,5,20250729,090000,0.0519391,0.0519391,0.0516443,0.0516443,0,0
RUBMYR,5,20250729,090500,0.0516451,0.0517084,0.0516417,0.0517084,0,0
RUBMYR,5,20250729,091000,0.0517084,0.0517125,0.0517084,0.0517125,0,0
RUBMYR,5,20250729,091500,0.0517154,0.0517832,0.0517154,0.0517738,0,0
RUBMYR,5,20250729,092000,0.0517743,0.051778,0.0517355,0.0517355,0,0
RUBMYR,5,20250729,092500,0.0517355,0.0517436,0.0517302,0.0517436,0,0
RUBMYR,5,20250729,093000,0.0517335,0.0517448,0.0517132,0.0517164,0,0
RUBMYR,5,20250729,093500,0.0517115,0.0518101,0.0517115,0.0518101,0,0
RUBMYR,5,20250729,094000,0.0518019,0.0518019,0.0516425,0.0516522,0,0
RUBMYR,5,20250729,094500,0.0516518,0.0517264,0.0515893,0.0515893,0,0
RUBMYR,5,20250729,095000,0.0515893,0.0516003,0.0515182,0.0515182,0,0
