<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RUBTWD,5,20250728,090000,0.371798,0.372784,0.371798,0.372596,0,0
RUBTWD,5,20250728,090500,0.372596,0.372665,0.372562,0.372575,0,0
RUBTWD,5,20250728,091000,0.372561,0.372571,0.372449,0.372532,0,0
RUBTWD,5,20250728,091500,0.372533,0.372547,0.372516,0.372537,0,0
RUBTWD,5,20250728,092000,0.372522,0.372523,0.372489,0.372523,0,0
RUBTWD,5,20250728,092500,0.372503,0.37262,0.37213,0.372269,0,0
RUBTWD,5,20250728,093000,0.372133,0.372676,0.372133,0.372676,0,0
RUBTWD,5,20250728,093500,0.372652,0.373063,0.372297,0.372297,0,0
RUBTWD,5,20250728,094000,0.372144,0.372144,0.371135,0.371135,0,0
RUBTWD,5,20250728,094500,0.371135,0.371135,0.370841,0.370941,0,0
RUBTWD,5,20250728,095000,0.371274,0.372349,0.371248,0.372349,0,0
RUBTWD,5,20250728,095500,0.372368,0.372368,0.371932,0.371983,0,0
RUBTWD,5,20250729,090000,0.366258,0.367027,0.363014,0.36316,0,0
RUBTWD,5,20250729,090500,0.36315,0.363578,0.363093,0.363514,0,0
RUBTWD,5,20250729,091000,0.363514,0.363514,0.363302,0.363302,0,0
RUBTWD,5,20250729,091500,0.363066,0.36351,0.363066,0.363353,0,0
RUBTWD,5,20250729,092000,0.363253,0.363373,0.363151,0.363151,0,0
RUBTWD,5,20250729,092500,0.363151,0.363179,0.362963,0.363179,0,0
RUBTWD,5,20250729,093000,0.363183,0.363183,0.362794,0.362826,0,0
RUBTWD,5,20250729,093500,0.362824,0.363714,0.362824,0.363714,0,0
RUBTWD,5,20250729,094000,0.363682,0.363682,0.362369,0.362428,0,0
RUBTWD,5,20250729,094500,0.362422,0.362929,0.361915,0.361915,0,0
RUBTWD,5,20250729,095000,0.361915,0.361915,0.361046,0.361254,0,0
RUBTWD,5,20250729,095500,0.361268,0.362084,0.360757,0.360777,0,0
RUBTWD,5,20250730,090000,0.366263,0.366614,0.360834,0.362397,0,0
RUBTWD,5,20250730,090500,0.36238,0.362384,0.361564,0.362345,0,0
RUBTWD,5,20250730,091000,0.362336,0.362373,0.362232,0.362373,0,0
RUBTWD,5,20250730,091500,0.362326,0.36233,0.362163,0.362163,0,0
RUBTWD,5,20250730,092000,0.362223,0.362268,0.362111,0.362233,0,0
RUBTWD,5,20250730,092500,0.362203,0.362342,0.362203,0.362342,0,0
RUBTWD,5,20250730,093000,0.362287,0.362347,0.362269,0.362347,0,0
RUBTWD,5,20250730,093500,0.362321,0.362321,0.362099,0.36212,0,0
RUBTWD,5,20250730,094000,0.362285,0.363009,0.362285,0.363009,0,0
RUBTWD,5,20250730,094500,0.363006,0.363048,0.363005,0.363048,0,0
RUBTWD,5,20250730,095000,0.363012,0.363055,0.363012,0.363055,0,0
RUBTWD,5,20250730,095500,0.363032,0.363126,0.363032,0.363086,0,0
RUBTWD,5,20250731,090000,0.369563,0.370648,0.368616,0.370099,0,0
RUBTWD,5,20250731,090500,0.370024,0.37053,0.370024,0.37053,0,0
RUBTWD,5,20250731,091000,0.370421,0.370421,0.369813,0.370297,0,0
RUBTWD,5,20250731,091500,0.370266,0.370379,0.369527,0.370379,0,0
RUBTWD,5,20250731,092000,0.370356,0.37046,0.370356,0.37046,0,0
RUBTWD,5,20250731,092500,0.370404,0.370582,0.370404,0.370582,0,0
RUBTWD,5,20250731,093000,0.370563,0.371569,0.370137,0.371339,0,0
RUBTWD,5,20250731,093500,0.371339,0.371772,0.371215,0.371215,0,0
RUBTWD,5,20250731,094000,0.371381,0.372486,0.371262,0.372486,0,0
RUBTWD,5,20250731,094500,0.372486,0.3727,0.372269,0.372617,0,0
RUBTWD,5,20250731,095000,0.372542,0.37316,0.371949,0.372925,0,0
RUBTWD,5,20250731,095500,0.372877,0.373428,0.372877,0.373126,0,0
RUBTWD,5,20250801,090000,0.369135,0.372794,0.368965,0.37263,0,0
RUBTWD,5,20250801,090500,0.372574,0.373898,0.372574,0.373838,0,0
RUBTWD,5,20250801,091000,0.373817,0.373817,0.372774,0.372827,0,0
RUBTWD,5,20250801,091500,0.372724,0.373403,0.372724,0.373403,0,0
RUBTWD,5,20250801,092000,0.373384,0.373518,0.372991,0.373102,0,0
RUBTWD,5,20250801,092500,0.373249,0.373459,0.373219,0.373459,0,0
RUBTWD,5,20250801,093000,0.373375,0.373453,0.373247,0.37328,0,0
RUBTWD,5,20250801,093500,0.373256,0.373417,0.373256,0.373271,0,0
RUBTWD,5,20250801,094000,0.373257,0.373257,0.372895,0.37292,0,0
RUBTWD,5,20250801,094500,0.372907,0.373487,0.372713,0.373292,0,0
RUBTWD,5,20250801,095000,0.373331,0.373403,0.37314,0.373206,0,0
RUBTWD,5,20250801,095500,0.373086,0.373499,0.372593,0.373499,0,0
RUBTWD,5,20250804,090000,0.373752,0.374155,0.373527,0.373675,0,0
RUBTWD,5,20250804,090500,0.37368,0.37368,0.373561,0.373571,0,0
RUBTWD,5,20250804,091000,0.373581,0.373581,0.373516,0.373516,0,0
RUBTWD,5,20250804,091500,0.373473,0.373473,0.373404,0.373404,0,0
RUBTWD,5,20250804,092000,0.373425,0.373621,0.373425,0.373621,0,0
RUBTWD,5,20250804,092500,0.373617,0.373726,0.373602,0.373716,0,0
RUBTWD,5,20250804,093000,0.373713,0.373818,0.373713,0.373806,0,0
RUBTWD,5,20250804,093500,0.373796,0.373797,0.37369,0.373695,0,0
RUBTWD,5,20250804,094000,0.373702,0.373785,0.373695,0.373784,0,0
RUBTWD,5,20250804,094500,0.373785,0.373785,0.373765,0.373769,0,0
RUBTWD,5,20250804,095000,0.373773,0.373847,0.373764,0.373834,0,0
RUBTWD,5,20250804,095500,0.373857,0.373857,0.373678,0.373678,0,0
RUBTWD,5,20250805,090000,0.374861,0.375712,0.373954,0.375565,0,0
RUBTWD,5,20250805,090500,0.375544,0.375544,0.373432,0.374414,0,0
RUBTWD,5,20250805,091000,0.374414,0.374414,0.374285,0.374285,0,0
RUBTWD,5,20250805,091500,0.374291,0.374291,0.373194,0.373717,0,0
RUBTWD,5,20250805,092000,0.373727,0.374236,0.373727,0.374236,0,0
RUBTWD,5,20250805,092500,0.374273,0.374328,0.374246,0.374328,0,0
RUBTWD,5,20250805,093000,0.374362,0.374362,0.373208,0.374307,0,0
RUBTWD,5,20250805,093500,0.374307,0.374343,0.373627,0.374318,0,0
RUBTWD,5,20250805,094000,0.374367,0.374738,0.374367,0.374738,0,0
RUBTWD,5,20250805,094500,0.374763,0.374923,0.373598,0.374923,0,0
RUBTWD,5,20250805,095000,0.374986,0.375163,0.37497,0.37514,0,0
RUBTWD,5,20250805,095500,0.375195,0.375195,0.373807,0.374956,0,0
RUBTWD,5,20250806,090000,0.3748,0.376206,0.37339,0.373426,0,0
RUBTWD,5,20250806,090500,0.373471,0.374104,0.37343,0.374104,0,0
RUBTWD,5,20250806,091000,0.374157,0.374227,0.374009,0.374009,0,0
RUBTWD,5,20250806,091500,0.374069,0.374069,0.374023,0.374023,0,0
RUBTWD,5,20250806,092000,0.374028,0.374072,0.373978,0.374072,0,0
RUBTWD,5,20250806,092500,0.37417,0.374401,0.37417,0.374401,0,0
RUBTWD,5,20250806,093000,0.374424,0.374424,0.374238,0.374374,0,0
RUBTWD,5,20250806,093500,0.374465,0.374465,0.374291,0.374291,0,0
RUBTWD,5,20250806,094000,0.37417,0.37417,0.373968,0.374034,0,0
RUBTWD,5,20250806,094500,0.374124,0.374124,0.374095,0.374098,0,0
RUBTWD,5,20250806,095000,0.374114,0.374114,0.373978,0.373978,0,0
RUBTWD,5,20250806,095500,0.374021,0.374021,0.372901,0.373373,0,0
RUBTWD,5,20250807,090000,0.372939,0.374003,0.371987,0.374003,0,0
RUBTWD,5,20250807,090500,0.374091,0.374091,0.374048,0.374048,0,0
RUBTWD,5,20250807,091000,0.37406,0.37469,0.37406,0.37469,0,0
RUBTWD,5,20250807,091500,0.37472,0.37472,0.374661,0.374661,0,0
RUBTWD,5,20250807,092000,0.374626,0.374626,0.374226,0.374619,0,0
RUBTWD,5,20250807,092500,0.374591,0.375115,0.374407,0.375044,0,0
RUBTWD,5,20250807,093000,0.375044,0.375637,0.374321,0.37533,0,0
RUBTWD,5,20250807,093500,0.37533,0.375801,0.37529,0.37529,0,0
RUBTWD,5,20250807,094000,0.375288,0.375718,0.375244,0.375382,0,0
RUBTWD,5,20250807,094500,0.375446,0.3758,0.375323,0.37569,0,0
RUBTWD,5,20250807,095000,0.37588,0.37588,0.374565,0.375274,0,0
RUBTWD,5,20250807,095500,0.375352,0.375566,0.375352,0.375531,0,0
RUBTWD,5,20250808,090000,0.377026,0.377026,0.374015,0.374932,0,0
RUBTWD,5,20250808,090500,0.374932,0.374995,0.374136,0.37416,0,0
RUBTWD,5,20250808,091000,0.374844,0.375038,0.374369,0.374973,0,0
RUBTWD,5,20250808,091500,0.374972,0.374972,0.374362,0.374776,0,0
RUBTWD,5,20250808,092000,0.374845,0.374845,0.373936,0.373936,0,0
RUBTWD,5,20250808,092500,0.374804,0.37484,0.374469,0.374801,0,0
RUBTWD,5,20250808,093000,0.374853,0.374853,0.373913,0.373913,0,0
RUBTWD,5,20250808,093500,0.373913,0.374767,0.373889,0.374767,0,0
RUBTWD,5,20250808,094000,0.374759,0.374806,0.373822,0.374708,0,0
RUBTWD,5,20250808,094500,0.374798,0.374845,0.373987,0.374843,0,0
RUBTWD,5,20250808,095000,0.374872,0.374872,0.373986,0.374826,0,0
RUBTWD,5,20250808,095500,0.374822,0.374919,0.373965,0.374919,0,0
RUBTWD,5,20250811,090000,0.374734,0.377021,0.374596,0.376767,0,0
RUBTWD,5,20250811,090500,0.376291,0.376291,0.376214,0.376225,0,0
RUBTWD,5,20250811,091000,0.37615,0.37615,0.376059,0.376059,0,0
RUBTWD,5,20250811,091500,0.376095,0.376127,0.376058,0.376058,0,0
RUBTWD,5,20250811,092000,0.376061,0.376146,0.376061,0.37614,0,0
RUBTWD,5,20250811,092500,0.376155,0.376213,0.376155,0.376203,0,0
RUBTWD,5,20250811,093000,0.376232,0.376242,0.376186,0.376242,0,0
RUBTWD,5,20250811,093500,0.376264,0.376321,0.376264,0.376281,0,0
RUBTWD,5,20250811,094000,0.376307,0.376307,0.376152,0.376152,0,0
RUBTWD,5,20250811,094500,0.376142,0.376142,0.375843,0.375843,0,0
RUBTWD,5,20250811,095000,0.375843,0.375904,0.375843,0.37587,0,0
RUBTWD,5,20250811,095500,0.375893,0.375986,0.375893,0.375965,0,0
RUBTWD,5,20250812,090000,0.376634,0.377206,0.376171,0.377006,0,0
RUBTWD,5,20250812,090500,0.377011,0.377011,0.376529,0.376529,0,0
RUBTWD,5,20250812,091000,0.376527,0.376548,0.376452,0.376548,0,0
RUBTWD,5,20250812,091500,0.376535,0.376573,0.376514,0.376514,0,0
RUBTWD,5,20250812,092000,0.376489,0.376505,0.376467,0.37648,0,0
RUBTWD,5,20250812,092500,0.376499,0.376539,0.376463,0.376539,0,0
RUBTWD,5,20250812,093000,0.376524,0.376524,0.376472,0.37651,0,0
