<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEKEUR,5,20250728,000000,0.0892444,0.0892543,0.0891935,0.0892543,0,0
SEKEUR,5,20250728,000500,0.0893174,0.0893541,0.0893077,0.0893515,0,0
SEKEUR,5,20250728,001000,0.0893474,0.089389,0.0893474,0.0893879,0,0
SEKEUR,5,20250728,001500,0.0893888,0.0893915,0.0893451,0.0893858,0,0
SEKEUR,5,20250728,002000,0.0893613,0.0893829,0.0893452,0.0893751,0,0
SEKEUR,5,20250728,002500,0.0893806,0.0894086,0.0893664,0.0893908,0,0
SEKEUR,5,20250728,003000,0.089389,0.0894094,0.0893822,0.0893833,0,0
SEKEUR,5,20250728,003500,0.0893842,0.0893874,0.0893709,0.0893809,0,0
SEKEUR,5,20250728,004000,0.0893818,0.0893941,0.0893746,0.0893886,0,0
SEKEUR,5,20250728,004500,0.0893821,0.0893951,0.0893821,0.0893885,0,0
SEKEUR,5,20250728,005000,0.0893889,0.0893933,0.0893836,0.0893898,0,0
SEKEUR,5,20250728,005500,0.0893901,0.0893901,0.0893674,0.0893884,0,0
SEKEUR,5,20250728,010000,0.0893825,0.0894921,0.0893825,0.0894748,0,0
SEKEUR,5,20250728,010500,0.0894742,0.0896011,0.0894672,0.0894888,0,0
SEKEUR,5,20250728,011000,0.089488,0.0895091,0.0894805,0.0894877,0,0
SEKEUR,5,20250728,011500,0.0895057,0.089531,0.0894751,0.0895066,0,0
SEKEUR,5,20250728,012000,0.0895086,0.089511,0.089485,0.0894945,0,0
SEKEUR,5,20250728,012500,0.089494,0.0895045,0.089476,0.089476,0,0
SEKEUR,5,20250728,013000,0.089477,0.0894919,0.0894641,0.0894641,0,0
SEKEUR,5,20250728,013500,0.0894649,0.0894926,0.0894639,0.089484,0,0
SEKEUR,5,20250728,014000,0.089484,0.0894938,0.0894701,0.0894791,0,0
SEKEUR,5,20250728,014500,0.0894789,0.0894966,0.0894738,0.0894861,0,0
SEKEUR,5,20250728,015000,0.0894881,0.0894954,0.0894689,0.0894738,0,0
SEKEUR,5,20250728,015500,0.089478,0.089478,0.0894603,0.0894625,0,0
SEKEUR,5,20250728,020000,0.0894619,0.0894936,0.0894613,0.0894925,0,0
SEKEUR,5,20250728,020500,0.0894939,0.0894939,0.0894668,0.0894767,0,0
SEKEUR,5,20250728,021000,0.0894762,0.0894816,0.0894553,0.089461,0,0
SEKEUR,5,20250728,021500,0.0894602,0.0894672,0.0894408,0.0894426,0,0
SEKEUR,5,20250728,022000,0.0894469,0.0894506,0.0894425,0.0894499,0,0
SEKEUR,5,20250728,022500,0.0894503,0.0894521,0.0894376,0.0894387,0,0
SEKEUR,5,20250728,023000,0.0894398,0.0894398,0.0894214,0.0894315,0,0
SEKEUR,5,20250728,023500,0.0894237,0.0894397,0.0894196,0.089422,0,0
SEKEUR,5,20250728,024000,0.0894211,0.0894324,0.0894188,0.0894274,0,0
SEKEUR,5,20250728,024500,0.0894283,0.089451,0.0894261,0.0894389,0,0
SEKEUR,5,20250728,025000,0.089438,0.0894606,0.0894363,0.0894554,0,0
SEKEUR,5,20250728,025500,0.0894558,0.0894808,0.0894544,0.0894724,0,0
SEKEUR,5,20250728,030000,0.089475,0.0895005,0.0894694,0.0895001,0,0
SEKEUR,5,20250728,030500,0.0894991,0.0895273,0.0894942,0.0895218,0,0
SEKEUR,5,20250728,031000,0.0895247,0.0895416,0.0895146,0.0895414,0,0
SEKEUR,5,20250728,031500,0.0895355,0.0895412,0.0894769,0.0894777,0,0
SEKEUR,5,20250728,032000,0.0894793,0.0894905,0.0894731,0.0894804,0,0
SEKEUR,5,20250728,032500,0.0894813,0.0894913,0.0894758,0.0894888,0,0
SEKEUR,5,20250728,033000,0.0894878,0.0894931,0.0894663,0.0894681,0,0
SEKEUR,5,20250728,033500,0.0894668,0.0894701,0.0894356,0.089438,0,0
SEKEUR,5,20250728,034000,0.0894351,0.0894439,0.0894303,0.0894407,0,0
SEKEUR,5,20250728,034500,0.089439,0.0894423,0.0894294,0.0894294,0,0
SEKEUR,5,20250728,035000,0.0894273,0.0894462,0.0894248,0.0894431,0,0
SEKEUR,5,20250728,035500,0.0894434,0.089451,0.0894312,0.0894313,0,0
SEKEUR,5,20250728,040000,0.0894292,0.0894415,0.089423,0.0894366,0,0
SEKEUR,5,20250728,040500,0.0894373,0.0894616,0.0894351,0.0894614,0,0
SEKEUR,5,20250728,041000,0.0894635,0.0894656,0.0894503,0.0894528,0,0
SEKEUR,5,20250728,041500,0.0894556,0.0894766,0.0894506,0.089465,0,0
SEKEUR,5,20250728,042000,0.0894733,0.0894754,0.0894617,0.0894646,0,0
SEKEUR,5,20250728,042500,0.0894655,0.0894811,0.0894633,0.0894777,0,0
SEKEUR,5,20250728,043000,0.0894773,0.089481,0.0894659,0.0894799,0,0
SEKEUR,5,20250728,043500,0.0894812,0.0894937,0.0894774,0.089483,0,0
SEKEUR,5,20250728,044000,0.089483,0.0894836,0.0894636,0.0894638,0,0
SEKEUR,5,20250728,044500,0.0894647,0.089469,0.089453,0.0894685,0,0
SEKEUR,5,20250728,045000,0.0894676,0.0894794,0.0894627,0.0894767,0,0
SEKEUR,5,20250728,045500,0.0894757,0.0894791,0.089463,0.0894658,0,0
SEKEUR,5,20250728,050000,0.0894685,0.089472,0.0894558,0.0894587,0,0
SEKEUR,5,20250728,050500,0.0894589,0.0894758,0.0894537,0.0894758,0,0
SEKEUR,5,20250728,051000,0.0894756,0.0894756,0.0894591,0.0894616,0,0
