<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SGDJPY,5,20250728,000000,115.232,115.315,115.232,115.315,0,0
SGDJPY,5,20250728,000500,115.315,115.315,115.254,115.294,0,0
SGDJPY,5,20250728,001000,115.309,115.344,115.285,115.336,0,0
SGDJPY,5,20250728,001500,115.338,115.339,115.283,115.313,0,0
SGDJPY,5,20250728,002000,115.312,115.313,115.272,115.279,0,0
SGDJPY,5,20250728,002500,115.279,115.303,115.26,115.263,0,0
SGDJPY,5,20250728,003000,115.263,115.303,115.253,115.296,0,0
SGDJPY,5,20250728,003500,115.295,115.326,115.287,115.314,0,0
SGDJPY,5,20250728,004000,115.314,115.368,115.313,115.357,0,0
SGDJPY,5,20250728,004500,115.36,115.389,115.359,115.378,0,0
SGDJPY,5,20250728,005000,115.382,115.409,115.379,115.381,0,0
SGDJPY,5,20250728,005500,115.385,115.407,115.375,115.398,0,0
SGDJPY,5,20250728,010000,115.396,115.396,115.36,115.365,0,0
SGDJPY,5,20250728,010500,115.364,115.393,115.356,115.356,0,0
SGDJPY,5,20250728,011000,115.356,115.39,115.355,115.385,0,0
SGDJPY,5,20250728,011500,115.386,115.389,115.36,115.378,0,0
SGDJPY,5,20250728,012000,115.381,115.392,115.379,115.385,0,0
SGDJPY,5,20250728,012500,115.385,115.415,115.382,115.41,0,0
SGDJPY,5,20250728,013000,115.41,115.434,115.391,115.403,0,0
SGDJPY,5,20250728,013500,115.406,115.432,115.4,115.432,0,0
SGDJPY,5,20250728,014000,115.434,115.442,115.415,115.421,0,0
SGDJPY,5,20250728,014500,115.421,115.439,115.408,115.42,0,0
SGDJPY,5,20250728,015000,115.424,115.433,115.41,115.414,0,0
SGDJPY,5,20250728,015500,115.414,115.414,115.363,115.368,0,0
SGDJPY,5,20250728,020000,115.363,115.383,115.341,115.353,0,0
SGDJPY,5,20250728,020500,115.351,115.402,115.351,115.376,0,0
SGDJPY,5,20250728,021000,115.383,115.414,115.365,115.385,0,0
SGDJPY,5,20250728,021500,115.383,115.393,115.35,115.377,0,0
SGDJPY,5,20250728,022000,115.379,115.388,115.344,115.366,0,0
SGDJPY,5,20250728,022500,115.368,115.409,115.364,115.396,0,0
SGDJPY,5,20250728,023000,115.399,115.411,115.331,115.331,0,0
SGDJPY,5,20250728,023500,115.342,115.372,115.326,115.344,0,0
SGDJPY,5,20250728,024000,115.344,115.374,115.34,115.367,0,0
SGDJPY,5,20250728,024500,115.371,115.419,115.37,115.397,0,0
SGDJPY,5,20250728,025000,115.392,115.41,115.346,115.353,0,0
SGDJPY,5,20250728,025500,115.354,115.374,115.305,115.323,0,0
SGDJPY,5,20250728,030000,115.323,115.323,115.268,115.275,0,0
SGDJPY,5,20250728,030500,115.28,115.31,115.28,115.305,0,0
SGDJPY,5,20250728,031000,115.303,115.336,115.295,115.336,0,0
SGDJPY,5,20250728,031500,115.336,115.348,115.327,115.336,0,0
SGDJPY,5,20250728,032000,115.34,115.411,115.321,115.383,0,0
SGDJPY,5,20250728,032500,115.383,115.41,115.368,115.387,0,0
SGDJPY,5,20250728,033000,115.386,115.389,115.339,115.347,0,0
SGDJPY,5,20250728,033500,115.346,115.379,115.337,115.347,0,0
SGDJPY,5,20250728,034000,115.348,115.368,115.314,115.329,0,0
SGDJPY,5,20250728,034500,115.327,115.36,115.323,115.349,0,0
SGDJPY,5,20250728,035000,115.346,115.399,115.346,115.38,0,0
SGDJPY,5,20250728,035500,115.38,115.428,115.38,115.424,0,0
SGDJPY,5,20250728,040000,115.424,115.442,115.416,115.441,0,0
SGDJPY,5,20250728,040500,115.438,115.489,115.429,115.486,0,0
SGDJPY,5,20250728,041000,115.483,115.525,115.465,115.469,0,0
SGDJPY,5,20250728,041500,115.471,115.477,115.433,115.46,0,0
SGDJPY,5,20250728,042000,115.466,115.471,115.449,115.466,0,0
SGDJPY,5,20250728,042500,115.471,115.485,115.452,115.479,0,0
SGDJPY,5,20250728,043000,115.479,115.523,115.479,115.523,0,0
SGDJPY,5,20250728,043500,115.519,115.526,115.473,115.482,0,0
SGDJPY,5,20250728,044000,115.48,115.507,115.476,115.479,0,0
SGDJPY,5,20250728,044500,115.479,115.482,115.469,115.478,0,0
SGDJPY,5,20250728,045000,115.478,115.489,115.44,115.454,0,0
SGDJPY,5,20250728,045500,115.454,115.471,115.443,115.443,0,0
SGDJPY,5,20250728,050000,115.443,115.469,115.428,115.439,0,0
SGDJPY,5,20250728,050500,115.435,115.447,115.41,115.426,0,0
SGDJPY,5,20250728,051000,115.426,115.434,115.417,115.428,0,0
SGDJPY,5,20250728,051500,115.429,115.43,115.413,115.416,0,0
SGDJPY,5,20250728,052000,115.419,115.431,115.393,115.393,0,0
SGDJPY,5,20250728,052500,115.393,115.401,115.381,115.39,0,0
SGDJPY,5,20250728,053000,115.39,115.399,115.371,115.38,0,0
SGDJPY,5,20250728,053500,115.38,115.38,115.343,115.356,0,0
SGDJPY,5,20250728,054000,115.354,115.366,115.343,115.365,0,0
SGDJPY,5,20250728,054500,115.365,115.384,115.353,115.38,0,0
SGDJPY,5,20250728,055000,115.382,115.402,115.375,115.392,0,0
SGDJPY,5,20250728,055500,115.391,115.411,115.379,115.39,0,0
SGDJPY,5,20250728,060000,115.386,115.386,115.327,115.341,0,0
SGDJPY,5,20250728,060500,115.342,115.375,115.342,115.353,0,0
SGDJPY,5,20250728,061000,115.353,115.376,115.346,115.351,0,0
SGDJPY,5,20250728,061500,115.355,115.355,115.329,115.334,0,0
SGDJPY,5,20250728,062000,115.335,115.384,115.335,115.362,0,0
SGDJPY,5,20250728,062500,115.362,115.379,115.357,115.377,0,0
SGDJPY,5,20250728,063000,115.374,115.41,115.365,115.392,0,0
SGDJPY,5,20250728,063500,115.392,115.392,115.366,115.384,0,0
SGDJPY,5,20250728,064000,115.384,115.392,115.37,115.382,0,0
SGDJPY,5,20250728,064500,115.383,115.392,115.355,115.359,0,0
SGDJPY,5,20250728,065000,115.36,115.378,115.358,115.363,0,0
SGDJPY,5,20250728,065500,115.361,115.378,115.354,115.369,0,0
SGDJPY,5,20250728,070000,115.369,115.411,115.362,115.394,0,0
SGDJPY,5,20250728,070500,115.393,115.41,115.388,115.407,0,0
SGDJPY,5,20250728,071000,115.407,115.421,115.391,115.405,0,0
SGDJPY,5,20250728,071500,115.403,115.421,115.397,115.399,0,0
SGDJPY,5,20250728,072000,115.402,115.415,115.389,115.408,0,0
SGDJPY,5,20250728,072500,115.409,115.414,115.382,115.387,0,0
SGDJPY,5,20250728,073000,115.385,115.394,115.36,115.361,0,0
SGDJPY,5,20250728,073500,115.365,115.39,115.363,115.383,0,0
SGDJPY,5,20250728,074000,115.38,115.403,115.376,115.402,0,0
SGDJPY,5,20250728,074500,115.402,115.42,115.38,115.416,0,0
SGDJPY,5,20250728,075000,115.417,115.421,115.385,115.394,0,0
SGDJPY,5,20250728,075500,115.392,115.454,115.391,115.435,0,0
SGDJPY,5,20250728,080000,115.436,115.475,115.424,115.468,0,0
SGDJPY,5,20250728,080500,115.473,115.487,115.46,115.464,0,0
SGDJPY,5,20250728,081000,115.463,115.508,115.458,115.501,0,0
SGDJPY,5,20250728,081500,115.498,115.561,115.498,115.531,0,0
SGDJPY,5,20250728,082000,115.533,115.567,115.52,115.532,0,0
SGDJPY,5,20250728,082500,115.528,115.564,115.522,115.551,0,0
SGDJPY,5,20250728,083000,115.557,115.565,115.532,115.562,0,0
SGDJPY,5,20250728,083500,115.56,115.588,115.545,115.547,0,0
SGDJPY,5,20250728,084000,115.547,115.562,115.537,115.557,0,0
SGDJPY,5,20250728,084500,115.563,115.584,115.536,115.536,0,0
SGDJPY,5,20250728,085000,115.538,115.551,115.509,115.518,0,0
SGDJPY,5,20250728,085500,115.518,115.541,115.484,115.484,0,0
SGDJPY,5,20250728,090000,115.488,115.488,115.437,115.452,0,0
SGDJPY,5,20250728,090500,115.452,115.454,115.383,115.399,0,0
SGDJPY,5,20250728,091000,115.407,115.408,115.377,115.377,0,0
SGDJPY,5,20250728,091500,115.376,115.386,115.333,115.355,0,0
SGDJPY,5,20250728,092000,115.355,115.382,115.349,115.368,0,0
SGDJPY,5,20250728,092500,115.356,115.382,115.349,115.369,0,0
SGDJPY,5,20250728,093000,115.371,115.395,115.367,115.378,0,0
SGDJPY,5,20250728,093500,115.38,115.441,115.38,115.43,0,0
SGDJPY,5,20250728,094000,115.43,115.464,115.424,115.459,0,0
SGDJPY,5,20250728,094500,115.459,115.47,115.428,115.452,0,0
SGDJPY,5,20250728,095000,115.451,115.524,115.426,115.508,0,0
SGDJPY,5,20250728,095500,115.505,115.538,115.489,115.49,0,0
SGDJPY,5,20250728,100000,115.487,115.517,115.478,115.517,0,0
SGDJPY,5,20250728,100500,115.505,115.529,115.487,115.494,0,0
SGDJPY,5,20250728,101000,115.495,115.521,115.463,115.479,0,0
SGDJPY,5,20250728,101500,115.483,115.52,115.477,115.511,0,0
SGDJPY,5,20250728,102000,115.511,115.546,115.503,115.521,0,0
SGDJPY,5,20250728,102500,115.521,115.531,115.489,115.499,0,0
SGDJPY,5,20250728,103000,115.498,115.528,115.484,115.493,0,0
SGDJPY,5,20250728,103500,115.494,115.509,115.479,115.491,0,0
SGDJPY,5,20250728,104000,115.49,115.513,115.488,115.505,0,0
SGDJPY,5,20250728,104500,115.506,115.529,115.497,115.522,0,0
SGDJPY,5,20250728,105000,115.522,115.543,115.487,115.491,0,0
SGDJPY,5,20250728,105500,115.494,115.514,115.482,115.506,0,0
SGDJPY,5,20250728,110000,115.506,115.506,115.476,115.499,0,0
SGDJPY,5,20250728,110500,115.503,115.522,115.49,115.52,0,0
SGDJPY,5,20250728,111000,115.521,115.554,115.505,115.542,0,0
