<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRYCZK,5,20250728,000000,0.514382,0.517869,0.514063,0.517864,0,0
TRYCZK,5,20250728,000500,0.517832,0.51806,0.514858,0.515047,0,0
TRYCZK,5,20250728,001000,0.515054,0.515398,0.515045,0.515233,0,0
TRYCZK,5,20250728,001500,0.515185,0.515317,0.515015,0.515266,0,0
TRYCZK,5,20250728,002000,0.515266,0.515278,0.515089,0.515089,0,0
TRYCZK,5,20250728,002500,0.515089,0.515343,0.515037,0.515218,0,0
TRYCZK,5,20250728,003000,0.515218,0.515316,0.51514,0.51514,0,0
TRYCZK,5,20250728,003500,0.51514,0.515155,0.514971,0.515034,0,0
TRYCZK,5,20250728,004000,0.515025,0.515033,0.51484,0.514949,0,0
TRYCZK,5,20250728,004500,0.514907,0.515075,0.514907,0.51507,0,0
TRYCZK,5,20250728,005000,0.515068,0.51511,0.514986,0.514986,0,0
TRYCZK,5,20250728,005500,0.514989,0.515045,0.514897,0.514957,0,0
TRYCZK,5,20250728,010000,0.514982,0.515045,0.514946,0.51501,0,0
TRYCZK,5,20250728,010500,0.51501,0.515086,0.514973,0.514994,0,0
TRYCZK,5,20250728,011000,0.514994,0.515187,0.514994,0.515166,0,0
TRYCZK,5,20250728,011500,0.515117,0.515142,0.515001,0.51513,0,0
TRYCZK,5,20250728,012000,0.515075,0.515132,0.514987,0.515009,0,0
TRYCZK,5,20250728,012500,0.515014,0.515014,0.514876,0.514919,0,0
TRYCZK,5,20250728,013000,0.514921,0.515006,0.514841,0.5149,0,0
TRYCZK,5,20250728,013500,0.514873,0.514937,0.514839,0.514903,0,0
TRYCZK,5,20250728,014000,0.514866,0.514999,0.514863,0.514916,0,0
TRYCZK,5,20250728,014500,0.514916,0.515067,0.514916,0.514951,0,0
TRYCZK,5,20250728,015000,0.514956,0.515074,0.514948,0.514948,0,0
TRYCZK,5,20250728,015500,0.514946,0.515054,0.514946,0.515054,0,0
TRYCZK,5,20250728,020000,0.51504,0.51504,0.514519,0.514529,0,0
TRYCZK,5,20250728,020500,0.514531,0.51485,0.514525,0.51485,0,0
TRYCZK,5,20250728,021000,0.514783,0.514951,0.514714,0.514751,0,0
TRYCZK,5,20250728,021500,0.514726,0.514731,0.514455,0.514556,0,0
TRYCZK,5,20250728,022000,0.514541,0.514632,0.514468,0.514624,0,0
TRYCZK,5,20250728,022500,0.514629,0.514703,0.514595,0.514653,0,0
TRYCZK,5,20250728,023000,0.514648,0.514925,0.514639,0.514873,0,0
TRYCZK,5,20250728,023500,0.514863,0.515021,0.514838,0.514999,0,0
TRYCZK,5,20250728,024000,0.514999,0.515045,0.51492,0.514923,0,0
TRYCZK,5,20250728,024500,0.514978,0.515143,0.514965,0.515074,0,0
TRYCZK,5,20250728,025000,0.515054,0.515133,0.514973,0.515024,0,0
TRYCZK,5,20250728,025500,0.51499,0.515012,0.514722,0.514727,0,0
TRYCZK,5,20250728,030000,0.514727,0.514727,0.514473,0.514557,0,0
TRYCZK,5,20250728,030500,0.514572,0.51468,0.514557,0.514671,0,0
TRYCZK,5,20250728,031000,0.514663,0.514707,0.514526,0.514662,0,0
TRYCZK,5,20250728,031500,0.514701,0.514788,0.514571,0.514711,0,0
TRYCZK,5,20250728,032000,0.514721,0.514848,0.514699,0.514752,0,0
TRYCZK,5,20250728,032500,0.514744,0.514866,0.514739,0.514808,0,0
TRYCZK,5,20250728,033000,0.514804,0.515086,0.514801,0.515051,0,0
TRYCZK,5,20250728,033500,0.515051,0.515213,0.51505,0.515171,0,0
TRYCZK,5,20250728,034000,0.515171,0.515361,0.515171,0.51527,0,0
TRYCZK,5,20250728,034500,0.515295,0.515324,0.515223,0.515297,0,0
TRYCZK,5,20250728,035000,0.51526,0.515489,0.515179,0.515179,0,0
TRYCZK,5,20250728,035500,0.515179,0.515281,0.515161,0.515238,0,0
TRYCZK,5,20250728,040000,0.515238,0.515362,0.515214,0.515334,0,0
TRYCZK,5,20250728,040500,0.515333,0.515518,0.515333,0.51539,0,0
