<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TWDILS,5,20250728,090000,0.113602,0.113642,0.113243,0.113518,0,0
TWDILS,5,20250728,090500,0.113518,0.113518,0.113463,0.113486,0,0
TWDILS,5,20250728,091000,0.113486,0.113517,0.113484,0.113486,0,0
TWDILS,5,20250728,091500,0.113484,0.113488,0.113469,0.11348,0,0
TWDILS,5,20250728,092000,0.11348,0.113497,0.113457,0.113467,0,0
TWDILS,5,20250728,092500,0.113467,0.113522,0.113462,0.113471,0,0
TWDILS,5,20250728,093000,0.113463,0.113511,0.113337,0.113338,0,0
TWDILS,5,20250728,093500,0.113338,0.113489,0.113336,0.113489,0,0
TWDILS,5,20250728,094000,0.113489,0.113555,0.113484,0.113549,0,0
TWDILS,5,20250728,094500,0.11355,0.113572,0.113508,0.113522,0,0
TWDILS,5,20250728,095000,0.113523,0.113546,0.113168,0.113168,0,0
TWDILS,5,20250728,095500,0.113448,0.11346,0.113411,0.113429,0,0
TWDILS,5,20250729,090000,0.112984,0.113062,0.112788,0.112856,0,0
TWDILS,5,20250729,090500,0.112856,0.112896,0.112816,0.112891,0,0
TWDILS,5,20250729,091000,0.112892,0.112983,0.112892,0.112983,0,0
TWDILS,5,20250729,091500,0.112983,0.113137,0.112983,0.113117,0,0
TWDILS,5,20250729,092000,0.113119,0.113163,0.113097,0.1131,0,0
TWDILS,5,20250729,092500,0.113101,0.113167,0.113089,0.113089,0,0
TWDILS,5,20250729,093000,0.113088,0.113133,0.113083,0.11312,0,0
TWDILS,5,20250729,093500,0.11312,0.113126,0.113079,0.113081,0,0
TWDILS,5,20250729,094000,0.113081,0.113153,0.113081,0.113118,0,0
TWDILS,5,20250729,094500,0.113101,0.113107,0.113061,0.11309,0,0
TWDILS,5,20250729,095000,0.113093,0.113235,0.113093,0.113141,0,0
TWDILS,5,20250729,095500,0.113129,0.113131,0.113029,0.113078,0,0
TWDILS,5,20250730,090000,0.113371,0.113377,0.112997,0.113015,0,0
TWDILS,5,20250730,090500,0.113015,0.113238,0.113015,0.11318,0,0
TWDILS,5,20250730,091000,0.113177,0.113206,0.113147,0.113206,0,0
TWDILS,5,20250730,091500,0.113206,0.113241,0.113162,0.113179,0,0
TWDILS,5,20250730,092000,0.113179,0.113179,0.113118,0.113152,0,0
TWDILS,5,20250730,092500,0.113152,0.113161,0.113079,0.113089,0,0
TWDILS,5,20250730,093000,0.113089,0.113108,0.113041,0.113058,0,0
TWDILS,5,20250730,093500,0.113059,0.113132,0.113054,0.113117,0,0
TWDILS,5,20250730,094000,0.113115,0.113115,0.112976,0.112988,0,0
TWDILS,5,20250730,094500,0.112988,0.113034,0.112988,0.113034,0,0
TWDILS,5,20250730,095000,0.113034,0.113055,0.113034,0.11304,0,0
TWDILS,5,20250730,095500,0.11304,0.113066,0.11303,0.113046,0,0
TWDILS,5,20250731,090000,0.112889,0.113127,0.112846,0.11298,0,0
TWDILS,5,20250731,090500,0.11298,0.113025,0.112955,0.113025,0,0
TWDILS,5,20250731,091000,0.113025,0.113072,0.113012,0.113046,0,0
TWDILS,5,20250731,091500,0.113006,0.113079,0.113006,0.113048,0,0
TWDILS,5,20250731,092000,0.113048,0.113055,0.113015,0.11302,0,0
TWDILS,5,20250731,092500,0.11302,0.11305,0.112947,0.112951,0,0
TWDILS,5,20250731,093000,0.112952,0.112985,0.112832,0.112837,0,0
TWDILS,5,20250731,093500,0.112837,0.112867,0.11278,0.112845,0,0
TWDILS,5,20250731,094000,0.112846,0.112906,0.112788,0.112879,0,0
