<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TWDRUB,5,20250728,090000,2.68962,2.68962,2.68251,2.68386,0,0
TWDRUB,5,20250728,090500,2.68386,2.68411,2.68336,2.68402,0,0
TWDRUB,5,20250728,091000,2.68412,2.68492,2.68404,2.68432,0,0
TWDRUB,5,20250728,091500,2.68423,2.68444,2.68422,2.68429,0,0
TWDRUB,5,20250728,092000,2.6844,2.68463,2.68439,2.68439,0,0
TWDRUB,5,20250728,092500,2.68453,2.68722,2.68369,2.68622,0,0
TWDRUB,5,20250728,093000,2.6872,2.6872,2.68329,2.68329,0,0
TWDRUB,5,20250728,093500,2.68346,2.68602,2.6805,2.68602,0,0
TWDRUB,5,20250728,094000,2.68712,2.69443,2.68712,2.69443,0,0
TWDRUB,5,20250728,094500,2.69443,2.69657,2.69443,2.69584,0,0
TWDRUB,5,20250728,095000,2.69342,2.69361,2.68564,2.68564,0,0
TWDRUB,5,20250728,095500,2.68551,2.68866,2.68551,2.68828,0,0
TWDRUB,5,20250729,090000,2.7303,2.75471,2.72459,2.7536,0,0
TWDRUB,5,20250729,090500,2.75367,2.75411,2.75044,2.75092,0,0
TWDRUB,5,20250729,091000,2.75092,2.75252,2.75092,2.75252,0,0
TWDRUB,5,20250729,091500,2.75431,2.75431,2.75095,2.75213,0,0
TWDRUB,5,20250729,092000,2.75289,2.75367,2.75198,2.75367,0,0
TWDRUB,5,20250729,092500,2.75367,2.75509,2.75345,2.75345,0,0
TWDRUB,5,20250729,093000,2.75343,2.75638,2.75343,2.75614,0,0
TWDRUB,5,20250729,093500,2.75615,2.75615,2.74941,2.74941,0,0
TWDRUB,5,20250729,094000,2.74965,2.75961,2.74965,2.75916,0,0
TWDRUB,5,20250729,094500,2.7592,2.76307,2.75535,2.76307,0,0
TWDRUB,5,20250729,095000,2.76307,2.76972,2.76307,2.76813,0,0
TWDRUB,5,20250729,095500,2.76802,2.77194,2.76178,2.77179,0,0
TWDRUB,5,20250730,090000,2.73027,2.77135,2.72765,2.7594,0,0
TWDRUB,5,20250730,090500,2.75953,2.76575,2.75949,2.75979,0,0
TWDRUB,5,20250730,091000,2.75986,2.76065,2.75958,2.75958,0,0
TWDRUB,5,20250730,091500,2.75994,2.76118,2.75991,2.76118,0,0
TWDRUB,5,20250730,092000,2.76072,2.76158,2.76038,2.76064,0,0
