<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPDAUD,5,20250728,001000,1882.62,1884.86,1870.65,1884.2,0,0
XPDAUD,5,20250728,001500,1884.4,1886.71,1872.65,1883.62,0,0
XPDAUD,5,20250728,002000,1883.65,1886.55,1878.83,1883.25,0,0
XPDAUD,5,20250728,002500,1883.25,1888.09,1868.53,1886.18,0,0
XPDAUD,5,20250728,003000,1886.18,1888.02,1874.78,1885.99,0,0
XPDAUD,5,20250728,003500,1885.99,1885.99,1871.92,1884.52,0,0
XPDAUD,5,20250728,004000,1884.56,1892.87,1874.79,1890.91,0,0
XPDAUD,5,20250728,004500,1884.48,1892.87,1879.23,1890.39,0,0
XPDAUD,5,20250728,005000,1886.62,1891.2,1877.17,1890,0,0
XPDAUD,5,20250728,005500,1884.17,1891.62,1878.53,1891.6,0,0
XPDAUD,5,20250728,010000,1880.26,1892.4,1867.56,1891.37,0,0
XPDAUD,5,20250728,010500,1892.54,1893.1,1881.19,1891.91,0,0
XPDAUD,5,20250728,011000,1891.91,1892.22,1867.67,1892.17,0,0
XPDAUD,5,20250728,011500,1891.79,1892.89,1870.76,1890.58,0,0
XPDAUD,5,20250728,012000,1892.53,1892.53,1873.94,1891.54,0,0
XPDAUD,5,20250728,012500,1883.35,1891.98,1877.76,1891.87,0,0
XPDAUD,5,20250728,013000,1891.87,1893.14,1879.86,1892.02,0,0
XPDAUD,5,20250728,013500,1892.02,1892.86,1878.77,1890.88,0,0
XPDAUD,5,20250728,014000,1890.88,1891.41,1879.3,1891.03,0,0
XPDAUD,5,20250728,014500,1891.03,1891.08,1878.18,1889.48,0,0
XPDAUD,5,20250728,015000,1883.35,1889.48,1883.35,1884.96,0,0
XPDAUD,5,20250728,015500,1884.96,1887.71,1874.9,1885.96,0,0
XPDAUD,5,20250728,020000,1885.96,1885.96,1873.92,1884.88,0,0
XPDAUD,5,20250728,020500,1884.88,1887.69,1874.15,1884.18,0,0
XPDAUD,5,20250728,021000,1885.2,1885.51,1873.11,1883.62,0,0
XPDAUD,5,20250728,021500,1883.62,1885.77,1872.69,1885.05,0,0
XPDAUD,5,20250728,022000,1885.15,1886.09,1874.1,1885.8,0,0
XPDAUD,5,20250728,022500,1885.93,1886.29,1874.76,1884.98,0,0
XPDAUD,5,20250728,023000,1885.05,1887.07,1873.89,1886.2,0,0
XPDAUD,5,20250728,023500,1886.16,1887.1,1874.65,1874.65,0,0
XPDAUD,5,20250728,024000,1874.65,1886.46,1874.12,1885.35,0,0
XPDAUD,5,20250728,024500,1885.35,1886.53,1873.8,1885.88,0,0
XPDAUD,5,20250728,025000,1885.77,1885.83,1875.67,1882.08,0,0
XPDAUD,5,20250728,025500,1885.55,1885.88,1875.65,1885.27,0,0
XPDAUD,5,20250728,030000,1885.27,1886.08,1871.83,1886.03,0,0
XPDAUD,5,20250728,030500,1873.68,1886.11,1873.65,1877.19,0,0
XPDAUD,5,20250728,031000,1885.14,1886.54,1871.7,1886.54,0,0
XPDAUD,5,20250728,031500,1877.07,1887.81,1875.73,1887.47,0,0
XPDAUD,5,20250728,032000,1877.08,1888.12,1877.08,1886.99,0,0
XPDAUD,5,20250728,032500,1877.89,1888.04,1876.99,1885.45,0,0
XPDAUD,5,20250728,033000,1885.45,1889.52,1877.66,1889.34,0,0
XPDAUD,5,20250728,033500,1880.09,1889.58,1878.8,1888.68,0,0
XPDAUD,5,20250728,034000,1880.12,1890.41,1879.81,1889.59,0,0
XPDAUD,5,20250728,034500,1879.66,1890.05,1877.96,1890.05,0,0
XPDAUD,5,20250728,035000,1878.07,1890.9,1878.02,1878.02,0,0
