<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPTEGP,5,20250728,083000,69485,69519.7,69419,69485.5,0,0
XPTEGP,5,20250728,083500,69487.9,69512.4,69434.1,69471.8,0,0
XPTEGP,5,20250728,084000,69471.8,69508.4,69436,69498.1,0,0
XPTEGP,5,20250728,084500,69493.2,69496.2,69342.6,69342.6,0,0
XPTEGP,5,20250728,085000,69342.6,69373.7,69082.8,69137.3,0,0
XPTEGP,5,20250728,085500,69137.3,69283.9,69100.1,69204.7,0,0
XPTEGP,5,20250728,090000,69210.6,69372.7,69186.4,69227.4,0,0
XPTEGP,5,20250728,090500,69227.4,69227.4,69019.6,69114.4,0,0
XPTEGP,5,20250728,091000,69120.8,69120.8,68952.2,69004.5,0,0
XPTEGP,5,20250728,091500,69004.5,69029.2,68922.8,68938.4,0,0
XPTEGP,5,20250728,092000,68938.4,68950.9,68880.2,68933.4,0,0
XPTEGP,5,20250728,092500,68932.9,68964.2,68749.5,68830.5,0,0
XPTEGP,5,20250728,093000,68843.2,68843.2,68685.4,68783.5,0,0
XPTEGP,5,20250728,093500,68783.5,68793.2,68667.8,68757.1,0,0
XPTEGP,5,20250728,094000,68757.1,68763,68633.7,68726.9,0,0
XPTEGP,5,20250728,094500,68726.9,68790.4,68699.1,68735.2,0,0
XPTEGP,5,20250728,095000,68735.2,68763.1,68675.3,68753.3,0,0
XPTEGP,5,20250728,095500,68753.3,68760.2,68603,68667.8,0,0
XPTEGP,5,20250728,100000,68644.9,68743,68608.3,68726.9,0,0
XPTEGP,5,20250728,100500,68736.7,68784.5,68661.9,68725.8,0,0
XPTEGP,5,20250728,101000,68733.1,68800.3,68727.7,68752,0,0
XPTEGP,5,20250728,101500,68752,68759.6,68653.3,68674.2,0,0
XPTEGP,5,20250728,102000,68674.2,68710.8,68627.1,68641.7,0,0
XPTEGP,5,20250728,102500,68649,68678.3,68549.4,68581.1,0,0
XPTEGP,5,20250728,103000,68583.6,68744.7,68537.2,68732.5,0,0
XPTEGP,5,20250728,103500,68732.5,68820.1,68689.4,68694.8,0,0
XPTEGP,5,20250728,104000,68699.6,68820.1,68605.5,68647.4,0,0
XPTEGP,5,20250728,104500,68641.5,68783.4,68520.1,68610.1,0,0
XPTEGP,5,20250728,105000,68610.1,68624.9,68529.6,68624.9,0,0
XPTEGP,5,20250728,105500,68624.9,68714.1,68624.9,68691.4,0,0
XPTEGP,5,20250728,110000,68701.2,68852.4,68686.5,68743.6,0,0
XPTEGP,5,20250728,110500,68738.7,68960.5,68699,68850.2,0,0
XPTEGP,5,20250728,111000,68842.9,68887.8,68690.3,68707.3,0,0
XPTEGP,5,20250728,111500,68708.3,68839.4,68708.3,68833.6,0,0
XPTEGP,5,20250728,112000,68804.3,68876.6,68786.3,68815.1,0,0
XPTEGP,5,20250728,112500,68809.2,68871.7,68787,68838.2,0,0
XPTEGP,5,20250728,113000,68838.2,68838.2,68757,68783.9,0,0
