<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPTSGD,5,20250728,000000,1804.8,1811.56,1798.46,1809.86,0,0
XPTSGD,5,20250728,000500,1809.86,1813.73,1804.54,1811.78,0,0
XPTSGD,5,20250728,001000,1811.76,1812.61,1805.93,1812.61,0,0
XPTSGD,5,20250728,001500,1812.59,1813.1,1806.62,1812.54,0,0
XPTSGD,5,20250728,002000,1812.56,1813.4,1806.84,1812.7,0,0
XPTSGD,5,20250728,002500,1812.7,1814.42,1806.31,1814.37,0,0
XPTSGD,5,20250728,003000,1814.37,1814.37,1806.77,1813,0,0
XPTSGD,5,20250728,003500,1812.76,1812.91,1806.24,1812.68,0,0
XPTSGD,5,20250728,004000,1812.68,1822.21,1807.78,1819.71,0,0
XPTSGD,5,20250728,004500,1819.38,1820.42,1809.29,1814.26,0,0
XPTSGD,5,20250728,005000,1814.7,1818.12,1809.16,1814.78,0,0
XPTSGD,5,20250728,005500,1814.8,1817.89,1806.12,1814.96,0,0
XPTSGD,5,20250728,010000,1814.91,1818.02,1809.58,1816.96,0,0
XPTSGD,5,20250728,010500,1817.11,1820.24,1813.74,1816.69,0,0
XPTSGD,5,20250728,011000,1816.62,1817.79,1807.85,1815.45,0,0
XPTSGD,5,20250728,011500,1815.42,1817.22,1809.54,1816.15,0,0
XPTSGD,5,20250728,012000,1818.55,1818.55,1808.84,1814.76,0,0
XPTSGD,5,20250728,012500,1814.76,1817.45,1808.19,1816.13,0,0
XPTSGD,5,20250728,013000,1814.72,1816.74,1808.88,1814.72,0,0
XPTSGD,5,20250728,013500,1815.01,1815.44,1809.48,1814.67,0,0
XPTSGD,5,20250728,014000,1814.83,1817.14,1809.16,1815.69,0,0
XPTSGD,5,20250728,014500,1816.54,1816.54,1805.55,1813.54,0,0
XPTSGD,5,20250728,015000,1813.54,1814.25,1806.22,1813.51,0,0
XPTSGD,5,20250728,015500,1813.61,1815.5,1808.15,1813.57,0,0
XPTSGD,5,20250728,020000,1813.64,1815.53,1808.98,1813.61,0,0
XPTSGD,5,20250728,020500,1814.6,1815.29,1810.08,1813.21,0,0
XPTSGD,5,20250728,021000,1813.24,1813.73,1810.02,1811.25,0,0
XPTSGD,5,20250728,021500,1811.38,1815.73,1808.49,1814.49,0,0
XPTSGD,5,20250728,022000,1814.18,1815.2,1813.04,1813.87,0,0
XPTSGD,5,20250728,022500,1813.82,1814.31,1811.95,1813.29,0,0
XPTSGD,5,20250728,023000,1813.17,1814.67,1812.52,1814.08,0,0
XPTSGD,5,20250728,023500,1814.9,1816.62,1813.65,1813.72,0,0
XPTSGD,5,20250728,024000,1813.72,1814.51,1813.18,1813.75,0,0
XPTSGD,5,20250728,024500,1813.73,1814.09,1811.45,1813.72,0,0
XPTSGD,5,20250728,025000,1813.47,1818.82,1813.43,1816.21,0,0
XPTSGD,5,20250728,025500,1815.99,1818.47,1815.75,1816.04,0,0
XPTSGD,5,20250728,030000,1816.04,1818.74,1815.65,1816.12,0,0
XPTSGD,5,20250728,030500,1816.2,1819.86,1815.83,1817.56,0,0
XPTSGD,5,20250728,031000,1817.97,1818.57,1816.35,1817.13,0,0
XPTSGD,5,20250728,031500,1817.13,1817.13,1815.41,1816.85,0,0
XPTSGD,5,20250728,032000,1817.18,1817.86,1816.55,1817.15,0,0
XPTSGD,5,20250728,032500,1817.15,1818.37,1816.62,1818.12,0,0
XPTSGD,5,20250728,033000,1818.26,1818.26,1817.02,1818.16,0,0
XPTSGD,5,20250728,033500,1817.99,1819.01,1817.42,1817.42,0,0
XPTSGD,5,20250728,034000,1817.64,1818.88,1817.22,1818.63,0,0
XPTSGD,5,20250728,034500,1818.63,1818.63,1816.39,1817.36,0,0
XPTSGD,5,20250728,035000,1818.06,1818.1,1816.64,1817.16,0,0
XPTSGD,5,20250728,035500,1817.16,1817.6,1813.97,1814.9,0,0
XPTSGD,5,20250728,040000,1814.9,1815.82,1812.38,1813.42,0,0
XPTSGD,5,20250728,040500,1813.02,1813.76,1811.5,1813.53,0,0
XPTSGD,5,20250728,041000,1813.58,1814.44,1809.93,1814.17,0,0
XPTSGD,5,20250728,041500,1814.41,1815.42,1813.78,1814.46,0,0
XPTSGD,5,20250728,042000,1814.46,1814.8,1812.56,1812.56,0,0
XPTSGD,5,20250728,042500,1812.54,1815.75,1812.31,1815.2,0,0
XPTSGD,5,20250728,043000,1815.2,1817.03,1813.69,1815.18,0,0
XPTSGD,5,20250728,043500,1815.18,1816.81,1814.31,1815.53,0,0
