<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^DJC,5,20250728,153000,14133.94,14133.94,14103.2,14103.2,0,0
^DJC,5,20250728,153500,14100.89,14102.83,14096.05,14098.35,0,0
^DJC,5,20250728,154000,14098.07,14098.07,14084.46,14093.13,0,0
^DJC,5,20250728,154500,14094.84,14099.36,14083.95,14083.95,0,0
^DJC,5,20250728,155000,14085.98,14085.98,14074.5,14079.02,0,0
^DJC,5,20250728,155500,14077.9,14081.07,14071.88,14079.94,0,0
^DJC,5,20250728,160000,14079.63,14098.02,14076.75,14098.02,0,0
^DJC,5,20250728,160500,14101.01,14109.34,14101.01,14106.96,0,0
^DJC,5,20250728,161000,14107.06,14119.74,14106.26,14119.74,0,0
^DJC,5,20250728,161500,14119.32,14121.46,14117.03,14121.46,0,0
^DJC,5,20250728,162000,14121.98,14125.07,14114.5,14114.5,0,0
^DJC,5,20250728,162500,14114.21,14126.63,14114.21,14125.39,0,0
^DJC,5,20250728,163000,14125.37,14128.35,14120.76,14124.33,0,0
^DJC,5,20250728,163500,14124.29,14124.81,14117.14,14122.19,0,0
^DJC,5,20250728,164000,14121.57,14129.41,14118.53,14129.41,0,0
^DJC,5,20250728,164500,14130.51,14131.91,14126.75,14131.48,0,0
^DJC,5,20250728,165000,14131.7,14132.22,14120.91,14122.05,0,0
^DJC,5,20250728,165500,14119.34,14123.2,14115.59,14121.88,0,0
^DJC,5,20250728,170000,14122.53,14125.22,14118.57,14125.18,0,0
^DJC,5,20250728,170500,14125.15,14126.9,14120.07,14122.13,0,0
^DJC,5,20250728,171000,14120.92,14126.12,14118.22,14125.94,0,0
^DJC,5,20250728,171500,14126.45,14128.66,14111.47,14113.25,0,0
^DJC,5,20250728,172000,14112.94,14123.48,14111.9,14123.48,0,0
^DJC,5,20250728,172500,14123.67,14123.67,14113.93,14120.99,0,0
^DJC,5,20250728,173000,14120.94,14127.46,14119.03,14127.46,0,0
